"",BBK01.OECL06L,BBK01.OECL06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:52,
2002-01,0.199,
2002-04,0.200,
2002-07,0.191,
2002-10,0.185,
2003-01,0.034,
2003-04,0.036,
2003-07,0.036,
2003-10,0.031,
2004-01,0.027,
2004-04,0.024,
2004-07,0.024,
2004-10,0.021,
2005-01,0.021,
2005-04,0.016,
2005-07,0.017,
2005-10,0.014,
2006-01,0.018,
2006-04,0.015,
2006-07,0.013,
2006-10,0.013,
2007-01,0.010,
2007-04,0.010,
2007-07,0.011,
2007-10,0.012,
2008-01,0.010,
2008-04,0.009,
2008-07,0.014,
2008-10,0.016,
2009-01,0.011,
2009-04,0.011,
2009-07,0.007,
2009-10,0.006,
2010-01,0.004,
2010-04,0.002,
2010-07,0.003,
2010-10,0.002,
2011-01,0.003,
2011-04,0.065,
2011-07,0.068,
2011-10,0.076,
2012-01,0.098,
2012-04,0.098,
2012-07,0.101,
2012-10,0.059,
2013-01,0.054,
2013-04,0.053,
2013-07,0.054,
2013-10,0.053,
2014-01,0.059,
2014-04,0.062,
2014-07,0.058,
