"",BBK01.OEAA20N,BBK01.OEAA20N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:08,
2002-01,0.976,
2002-04,0.926,
2002-07,0.893,
2002-10,0.828,
2003-01,0.779,
2003-04,0.808,
2003-07,0.832,
2003-10,0.671,
2004-01,0.637,
2004-04,0.607,
2004-07,0.605,
2004-10,0.505,
2005-01,0.485,
2005-04,0.410,
2005-07,0.449,
2005-10,0.417,
2006-01,0.403,
2006-04,0.411,
2006-07,0.399,
2006-10,0.380,
2007-01,0.335,
2007-04,0.308,
2007-07,0.248,
2007-10,0.252,
2008-01,0.241,
2008-04,0.206,
2008-07,0.198,
2008-10,0.205,
2009-01,0.198,
2009-04,0.181,
2009-07,0.159,
2009-10,0.167,
2010-01,0.161,
2010-04,0.149,
2010-07,0.144,
2010-10,0.187,
2011-01,0.144,
2011-04,0.140,
2011-07,0.140,
2011-10,0.163,
2012-01,0.133,
2012-04,0.118,
2012-07,0.138,
2012-10,0.147,
2013-01,0.125,
2013-04,0.111,
2013-07,0.097,
2013-10,0.126,
2014-01,0.107,
2014-04,0.095,
2014-07,0.084,
