"",BBK01.OELI03N,BBK01.OELI03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:40,
2002-01,20.406,
2002-04,20.170,
2002-07,20.561,
2002-10,20.513,
2003-01,20.559,
2003-04,19.960,
2003-07,19.750,
2003-10,19.865,
2004-01,20.021,
2004-04,20.028,
2004-07,20.210,
2004-10,20.402,
2005-01,20.710,
2005-04,21.554,
2005-07,22.006,
2005-10,21.939,
2006-01,21.712,
2006-04,21.788,
2006-07,22.211,
2006-10,23.017,
2007-01,22.977,
2007-04,23.563,
2007-07,24.932,
2007-10,25.509,
2008-01,26.382,
2008-04,27.898,
2008-07,30.061,
2008-10,32.374,
2009-01,29.573,
2009-04,28.122,
2009-07,26.591,
2009-10,25.322,
2010-01,24.176,
2010-04,23.504,
2010-07,23.222,
2010-10,23.942,
2011-01,23.641,
2011-04,23.860,
2011-07,24.838,
2011-10,25.217,
2012-01,24.556,
2012-04,24.069,
2012-07,23.257,
2012-10,23.166,
2013-01,21.819,
2013-04,21.771,
2013-07,21.301,
2013-10,21.513,
2014-01,18.586,
2014-04,18.546,
2014-07,19.071,
