"",BBK01.OEAC10T,BBK01.OEAC10T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:38,
2002-01,3.190,
2002-04,3.189,
2002-07,3.129,
2002-10,3.153,
2003-01,3.641,
2003-04,3.642,
2003-07,4.971,
2003-10,4.988,
2004-01,5.031,
2004-04,5.019,
2004-07,5.047,
2004-10,5.078,
2005-01,5.099,
2005-04,5.109,
2005-07,5.081,
2005-10,5.101,
2006-01,5.085,
2006-04,5.021,
2006-07,5.219,
2006-10,5.292,
2007-01,5.280,
2007-04,5.194,
2007-07,5.185,
2007-10,4.973,
2008-01,5.160,
2008-04,5.184,
2008-07,5.180,
2008-10,5.309,
2009-01,5.338,
2009-04,6.005,
2009-07,6.057,
2009-10,6.034,
2010-01,6.221,
2010-04,6.204,
2010-07,6.428,
2010-10,6.313,
2011-01,6.476,
2011-04,6.624,
2011-07,6.585,
2011-10,6.682,
2012-01,6.865,
2012-04,6.867,
2012-07,6.885,
2012-10,6.919,
2013-01,7.004,
2013-04,7.088,
2013-07,7.084,
2013-10,7.174,
2014-01,7.363,
2014-04,7.469,
2014-07,7.456,
