"",BBK01.OEYB08Q,BBK01.OEYB08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:07,
2002-01,37.639,
2002-04,37.507,
2002-07,33.546,
2002-10,33.713,
2003-01,33.452,
2003-04,40.700,
2003-07,40.337,
2003-10,40.426,
2004-01,40.107,
2004-04,32.121,
2004-07,31.896,
2004-10,34.283,
2005-01,33.396,
2005-04,34.538,
2005-07,34.163,
2005-10,34.146,
2006-01,34.435,
2006-04,37.602,
2006-07,34.273,
2006-10,36.130,
2007-01,39.462,
2007-04,37.303,
2007-07,29.866,
2007-10,29.694,
2008-01,26.566,
2008-04,25.712,
2008-07,25.458,
2008-10,25.457,
2009-01,25.136,
2009-04,24.320,
2009-07,25.302,
2009-10,28.708,
2010-01,28.892,
2010-04,27.640,
2010-07,24.090,
2010-10,23.858,
2011-01,23.253,
2011-04,22.316,
2011-07,18.594,
2011-10,18.427,
2012-01,17.965,
2012-04,18.756,
2012-07,18.531,
2012-10,21.967,
2013-01,21.254,
2013-04,19.387,
2013-07,19.394,
2013-10,23.677,
2014-01,23.037,
2014-04,22.625,
2014-07,22.545,
