"",BBK01.CELM03,BBK01.CELM03_FLAGS
"",Currency                                                           debtor: Total            creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:06,
1999-01,-2.8,
1999-04,0.9,
1999-07,0.1,
1999-10,3.9,
2000-01,-4.2,
2000-04,0.2,
2000-07,0.6,
2000-10,2.6,
2001-01,-3.3,
2001-04,0.3,
2001-07,-0.3,
2001-10,0.1,
2002-01,1.9,
2002-04,-2.5,
2002-07,-0.9,
2002-10,4.6,
2003-01,-5.0,
2003-04,0.5,
2003-07,0.0,
2003-10,4.0,
2004-01,-4.6,
2004-04,0.5,
2004-07,0.0,
2004-10,2.0,
2005-01,-1.6,
2005-04,0.0,
2005-07,0.4,
2005-10,1.4,
2006-01,-2.0,
2006-04,0.5,
2006-07,0.4,
2006-10,2.2,
2007-01,-2.9,
2007-04,0.7,
2007-07,0.2,
2007-10,3.5,
2008-01,-3.6,
2008-04,-0.4,
2008-07,0.0,
2008-10,4.0,
2009-01,-3.8,
2009-04,1.1,
2009-07,-1.1,
2009-10,3.3,
2010-01,-2.8,
2010-04,-0.3,
2010-07,0.7,
2010-10,1.7,
2011-01,-2.1,
2011-04,0.8,
2011-07,0.2,
2011-10,1.0,
2012-01,-1.1,
2012-04,0.2,
2012-07,0.5,
2012-10,3.3,
2013-01,-2.3,
2013-04,-1.1,
2013-07,-0.5,
2013-10,3.5,
2014-01,-4.2,
2014-04,0.4,
2014-07,0.4,
