"",BBK01.WXI032,BBK01.WXI032_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:35,
2009-01,1293,
2009-02,1238,
2009-03,1272,
2009-04,1191,
2009-05,1230,
2009-06,1360,
2009-07,1278,
2009-08,1381,
2009-09,1210,
2009-10,1176,
2009-11,1253,
2009-12,1240,
2010-01,1337,
2010-02,1375,
2010-03,1190,
2010-04,1419,
2010-05,1453,
2010-06,1395,
2010-07,1253,
2010-08,1281,
2010-09,1367,
2010-10,1282,
2010-11,1620,
2010-12,1367,
2011-01,1335,
2011-02,1273,
2011-03,1397,
2011-04,1367,
2011-05,1548,
2011-06,1274,
2011-07,1386,
2011-08,1316,
2011-09,1563,
2011-10,1301,
2011-11,1342,
2011-12,1314,
2012-01,1250,
2012-02,1452,
2012-03,1259,
2012-04,1245,
2012-05,1390,
2012-06,1269,
2012-07,1344,
2012-08,1357,
2012-09,1317,
2012-10,1344,
2012-11,1298,
2012-12,1386,
2013-01,1606,
2013-02,1529,
2013-03,1397,
2013-04,1416,
2013-05,1178,
2013-06,1495,
2013-07,1057,
2013-08,1191,
2013-09,1264,
2013-10,1503,
2013-11,1206,
2013-12,1084,
2014-01,1188,
2014-02,1083,
2014-03,1127,
2014-04,972,
2014-05,1065,
2014-06,956,
2014-07,958,
2014-08,1060,
2014-09,1089,
2014-10,1098,
2014-11,1076,
