"",BBK01.OEHB11H,BBK01.OEHB11H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:13,
2002-01,1.622,
2002-04,1.631,
2002-07,1.641,
2002-10,1.660,
2003-01,1.607,
2003-04,1.615,
2003-07,1.604,
2003-10,1.633,
2004-01,1.621,
2004-04,1.663,
2004-07,1.671,
2004-10,1.662,
2005-01,1.662,
2005-04,1.694,
2005-07,1.704,
2005-10,1.664,
2006-01,1.653,
2006-04,1.615,
2006-07,1.582,
2006-10,1.550,
2007-01,1.595,
2007-04,1.621,
2007-07,1.589,
2007-10,1.560,
2008-01,1.539,
2008-04,1.498,
2008-07,1.664,
2008-10,1.892,
2009-01,1.925,
2009-04,1.982,
2009-07,2.081,
2009-10,2.119,
2010-01,2.120,
2010-04,2.188,
2010-07,2.284,
2010-10,2.435,
2011-01,2.514,
2011-04,2.554,
2011-07,2.561,
2011-10,2.615,
2012-01,2.720,
2012-04,2.775,
2012-07,2.859,
2012-10,2.885,
2013-01,2.924,
2013-04,2.995,
2013-07,3.042,
2013-10,3.018,
2014-01,2.983,
2014-04,3.034,
2014-07,3.113,
