"",BBSF2.M.1.T.00000.DGE01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.DGE01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed funds / Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:50,
2009-09,1397,
2009-10,1719,
2009-11,1733,
2009-12,1791,
2010-01,1717,
2010-02,1462,
2010-03,1483,
2010-04,1519,
2010-05,1481,
2010-06,1502,
2010-07,1973,
2010-08,5287,
2010-09,5237,
2010-10,5373,
2010-11,5577,
2010-12,5831,
2011-01,5547,
2011-02,5938,
2011-03,5844,
2011-04,5916,
2011-05,6026,
2011-06,6148,
2011-07,6120,
2011-08,5940,
2011-09,5925,
2011-10,6035,
2011-11,5870,
2011-12,6235,
2012-01,6254,
2012-02,6394,
2012-03,6237,
2012-04,6340,
2012-05,6458,
2012-06,6429,
2012-07,15224,
2012-08,15501,
2012-09,15496,
2012-10,16379,
2012-11,16296,
2012-12,16452,
2013-01,16802,
2013-02,17221,
2013-03,17671,
2013-04,17965,
2013-05,18431,
2013-06,18031,
2013-07,18394,
2013-08,18451,
2013-09,18794,
2013-10,19249,
2013-11,19366,
2013-12,19954,
2014-01,20065,
2014-02,20361,
2014-03,20719,
2014-04,20952,
2014-05,21452,
2014-06,21833,
2014-07,21947,
2014-08,22654,
2014-09,22991,
2014-10,22879,
2014-11,23463,
