"",BBK01.OEHL03S,BBK01.OEHL03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:45,
2002-01,0.324,
2002-04,0.294,
2002-07,0.311,
2002-10,0.300,
2003-01,0.246,
2003-04,0.230,
2003-07,0.231,
2003-10,0.214,
2004-01,0.213,
2004-04,0.196,
2004-07,0.192,
2004-10,0.184,
2005-01,0.170,
2005-04,0.168,
2005-07,0.168,
2005-10,0.158,
2006-01,0.170,
2006-04,0.175,
2006-07,0.184,
2006-10,0.183,
2007-01,0.193,
2007-04,0.203,
2007-07,0.220,
2007-10,0.248,
2008-01,0.293,
2008-04,0.306,
2008-07,0.330,
2008-10,0.372,
2009-01,0.316,
2009-04,0.264,
2009-07,0.222,
2009-10,0.193,
2010-01,0.202,
2010-04,0.190,
2010-07,0.193,
2010-10,0.198,
2011-01,0.211,
2011-04,0.225,
2011-07,0.232,
2011-10,0.238,
2012-01,0.236,
2012-04,0.221,
2012-07,0.212,
2012-10,0.203,
2013-01,0.200,
2013-04,0.197,
2013-07,0.195,
2013-10,0.190,
2014-01,0.191,
2014-04,0.196,
2014-07,0.188,
