"",BBK01.CEFL0C,BBK01.CEFL0C_FLAGS
"",Investment fund shares or units  debtor: Total                                           creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:36,
1999-01,9.7,
1999-04,10.1,
1999-07,10.0,
1999-10,15.0,
2000-01,15.6,
2000-04,12.3,
2000-07,13.0,
2000-10,14.0,
2001-01,13.9,
2001-04,14.2,
2001-07,14.0,
2001-10,14.7,
2002-01,15.2,
2002-04,15.0,
2002-07,15.4,
2002-10,15.6,
2003-01,15.3,
2003-04,15.9,
2003-07,16.1,
2003-10,15.3,
2004-01,15.2,
2004-04,14.2,
2004-07,13.8,
2004-10,14.0,
2005-01,13.6,
2005-04,14.1,
2005-07,14.8,
2005-10,20.2,
2006-01,15.7,
2006-04,16.0,
2006-07,16.0,
2006-10,16.0,
2007-01,16.3,
2007-04,16.3,
2007-07,14.5,
2007-10,14.2,
2008-01,14.2,
2008-04,13.9,
2008-07,14.2,
2008-10,13.5,
2009-01,12.1,
2009-04,11.6,
2009-07,11.8,
2009-10,11.4,
2010-01,11.4,
2010-04,11.3,
2010-07,10.9,
2010-10,10.7,
2011-01,9.7,
2011-04,10.4,
2011-07,10.4,
2011-10,10.4,
2012-01,10.7,
2012-04,11.1,
2012-07,12.2,
2012-10,11.9,
2013-01,13.0,
2013-04,13.6,
2013-07,13.8,
2013-10,14.3,
2014-01,14.6,
2014-04,15.3,
2014-07,15.6,
