"",BBK01.CEHO02,BBK01.CEHO02_FLAGS
"",Other deposits debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:04,
1991-01,-6.2,
1991-04,-12.9,
1991-07,-3.6,
1991-10,63.0,
1992-01,-42.3,
1992-04,-18.1,
1992-07,13.8,
1992-10,29.5,
1993-01,6.1,
1993-04,12.7,
1993-07,21.2,
1993-10,79.2,
1994-01,-13.9,
1994-04,-6.3,
1994-07,21.4,
1994-10,52.9,
1995-01,4.8,
1995-04,24.5,
1995-07,33.5,
1995-10,52.3,
1996-01,35.2,
1996-04,5.7,
1996-07,19.5,
1996-10,62.3,
1997-01,15.6,
1997-04,24.8,
1997-07,22.3,
1997-10,74.6,
1998-01,5.0,
1998-04,32.1,
1998-07,24.4,
1998-10,79.7,
1999-01,-83.2,
1999-04,28.8,
1999-07,74.5,
1999-10,44.9,
2000-01,8.7,
2000-04,-11.6,
2000-07,36.9,
2000-10,90.6,
2001-01,-5.2,
2001-04,-12.2,
2001-07,41.1,
2001-10,49.1,
2002-01,-32.5,
2002-04,31.0,
2002-07,44.0,
2002-10,94.3,
2003-01,15.6,
2003-04,70.2,
2003-07,-42.9,
2003-10,70.9,
2004-01,-33.6,
2004-04,92.7,
2004-07,-2.7,
2004-10,134.8,
2005-01,-10.0,
2005-04,51.5,
2005-07,53.0,
2005-10,16.5,
2006-01,63.2,
2006-04,70.3,
2006-07,11.3,
2006-10,68.1,
2007-01,44.9,
2007-04,41.0,
2007-07,83.9,
2007-10,187.1,
2008-01,-58.2,
2008-04,26.7,
2008-07,146.1,
2008-10,55.9,
2009-01,-164.6,
2009-04,20.1,
2009-07,-165.4,
2009-10,14.3,
2010-01,-84.9,
2010-04,49.4,
2010-07,-177.8,
2010-10,-51.4,
2011-01,-85.3,
2011-04,11.7,
2011-07,53.5,
2011-10,15.9,
2012-01,-44.0,
2012-04,-27.4,
2012-07,-48.1,
2012-10,-106.4,
2013-01,-26.6,
2013-04,-6.0,
2013-07,-96.2,
2013-10,12.1,
2014-01,20.8,
