"",BBK01.OEHI01R,BBK01.OEHI01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:29,
2002-01,8.732,
2002-04,8.744,
2002-07,8.782,
2002-10,8.930,
2003-01,8.795,
2003-04,8.751,
2003-07,8.813,
2003-10,8.977,
2004-01,8.820,
2004-04,8.824,
2004-07,8.831,
2004-10,8.988,
2005-01,8.806,
2005-04,8.816,
2005-07,8.876,
2005-10,8.989,
2006-01,8.849,
2006-04,8.834,
2006-07,8.939,
2006-10,9.001,
2007-01,8.881,
2007-04,8.869,
2007-07,8.980,
2007-10,9.036,
2008-01,8.862,
2008-04,8.862,
2008-07,8.908,
2008-10,9.228,
2009-01,9.119,
2009-04,9.178,
2009-07,9.293,
2009-10,9.524,
2010-01,9.455,
2010-04,9.560,
2010-07,9.676,
2010-10,9.807,
2011-01,9.661,
2011-04,9.712,
2011-07,9.807,
2011-10,9.903,
2012-01,9.775,
2012-04,9.898,
2012-07,10.051,
2012-10,10.144,
2013-01,10.050,
2013-04,10.147,
2013-07,10.287,
2013-10,10.404,
2014-01,10.371,
2014-04,10.479,
2014-07,10.743,
