"",BBK01.CEFS0N,BBK01.CEFS0N_FLAGS
"",Savings certificates                                                        debtor: Total           creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:13,
1999-01,4.7,
1999-04,4.8,
1999-07,5.2,
1999-10,5.7,
2000-01,6.0,
2000-04,6.3,
2000-07,6.6,
2000-10,6.8,
2001-01,6.7,
2001-04,6.8,
2001-07,6.8,
2001-10,6.8,
2002-01,6.7,
2002-04,6.9,
2002-07,7.0,
2002-10,6.9,
2003-01,6.8,
2003-04,6.8,
2003-07,6.8,
2003-10,7.2,
2004-01,8.6,
2004-04,8.6,
2004-07,8.5,
2004-10,9.3,
2005-01,10.2,
2005-04,10.9,
2005-07,10.8,
2005-10,10.6,
2006-01,10.5,
2006-04,10.4,
2006-07,10.2,
2006-10,10.8,
2007-01,10.7,
2007-04,11.4,
2007-07,12.3,
2007-10,12.9,
2008-01,13.8,
2008-04,15.8,
2008-07,16.3,
2008-10,16.0,
2009-01,16.0,
2009-04,15.5,
2009-07,16.3,
2009-10,16.1,
2010-01,16.9,
2010-04,17.3,
2010-07,16.7,
2010-10,17.1,
2011-01,16.8,
2011-04,16.6,
2011-07,16.9,
2011-10,17.1,
2012-01,16.8,
2012-04,17.0,
2012-07,16.9,
2012-10,16.5,
2013-01,16.4,
2013-04,16.2,
2013-07,15.6,
2013-10,15.2,
2014-01,13.5,
2014-04,13.4,
2014-07,13.6,
