"",BBFB1.Q.N.DE.SE.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:42,
1991-01,-6.070,
1991-04,-0.817,
1991-07,-8.554,
1991-10,-15.402,
1992-01,-10.594,
1992-04,-10.436,
1992-07,-4.301,
1992-10,-12.456,
1993-01,-12.123,
1993-04,-15.511,
1993-07,-15.867,
1993-10,-15.858,
1994-01,-10.984,
1994-04,-7.458,
1994-07,-9.141,
1994-10,-22.527,
1995-01,-12.166,
1995-04,-4.813,
1995-07,-19.518,
1995-10,-16.000,
1996-01,-24.269,
1996-04,-8.215,
1996-07,-15.344,
1996-10,-6.489,
1997-01,-16.202,
1997-04,-10.325,
1997-07,-16.589,
1997-10,-16.896,
1998-01,-16.543,
1998-04,-12.836,
1998-07,-23.217,
1998-10,-16.986,
1999-01,-16.825,
1999-04,-6.606,
1999-07,-18.477,
1999-10,-15.870,
2000-01,-43.847,
2000-04,-22.037,
2000-07,-14.004,
2000-10,-45.085,
2001-01,-19.206,
2001-04,-25.391,
2001-07,-28.412,
2001-10,-19.430,
2002-01,-22.151,
2002-04,-22.320,
2002-07,-44.329,
2002-10,-26.314,
2003-01,-21.336,
2003-04,-18.540,
2003-07,-19.418,
2003-10,-25.197,
2004-01,-20.983,
2004-04,-15.465,
2004-07,-24.988,
2004-10,-34.331,
2005-01,-15.132,
2005-04,-32.284,
2005-07,-23.853,
2005-10,-24.381,
2006-01,-13.803,
2006-04,-0.676,
2006-07,-26.869,
2006-10,-38.160,
2007-01,-23.536,
2007-04,58.795,
2007-07,-41.698,
2007-10,-33.438,
2008-01,-29.685,
2008-04,107.709,
2008-07,-24.978,
2008-10,-33.802,
2009-01,23.822,
2009-04,52.765,
2009-07,-32.519,
2009-10,-24.204,
2010-01,-18.606,
2010-04,3.518,
2010-07,-42.774,
2010-10,-81.649,
2011-01,-4.907,
2011-04,-3.076,
2011-07,-58.506,
2011-10,-39.735,
2012-01,-15.415,
2012-04,16.278,
2012-07,-50.531,
2012-10,-31.567,
2013-01,-34.199,
2013-04,30.121,
2013-07,-26.895,
2013-10,-23.089,
2014-01,7.916,Provisional value
2014-04,56.143,Provisional value
2014-07,-24.415,Provisional value
