"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F3.L._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F3.L._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Long-term debt-securities / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:09,
1991-01,1999.886,
1991-02,5308.678,
1991-03,-4466.484,
1991-04,249.944,
1991-05,2896.539,
1991-06,1008.819,
1991-07,2338.640,
1991-08,3477.078,
1991-09,2734.714,
1991-10,6489.862,
1991-11,4985.404,
1991-12,3050.052,
1992-01,6302.584,
1992-02,371.302,
1992-03,-1992.131,
1992-04,-0.813,
1992-05,1622.916,
1992-06,336.404,
1992-07,5380.041,
1992-08,5354.555,
1992-09,16182.358,
1992-10,10562.921,
1992-11,3918.955,
1992-12,13803.384,
1993-01,15818.314,
1993-02,10935.694,
1993-03,8756.906,
1993-04,9206.826,
1993-05,7558.193,
1993-06,11764.296,
1993-07,10810.199,
1993-08,-1256.688,
1993-09,7964.339,
1993-10,9343.474,
1993-11,6187.914,
1993-12,10988.404,
1994-01,13118.354,
1994-02,-5724.033,
1994-03,-9910.684,
1994-04,-4786.661,
1994-05,-2148.351,
1994-06,-4246.420,
1994-07,1622.695,
1994-08,1211.562,
1994-09,4634.275,
1994-10,4900.795,
1994-11,10402.673,
1994-12,2483.476,
1995-01,2490.490,
1995-02,-1696.647,
1995-03,7466.172,
1995-04,3443.296,
1995-05,5991.343,
1995-06,4324.110,
1995-07,967.680,
1995-08,6989.488,
1995-09,447.710,
1995-10,873.852,
1995-11,9873.706,
1995-12,2814.926,
1996-01,10398.069,
1996-02,4503.892,
1996-03,-1185.248,
1996-04,51.830,
1996-05,4364.311,
1996-06,3067.645,
1996-07,4756.599,
1996-08,9142.708,
1996-09,1379.199,
1996-10,203.924,
1996-11,11017.405,
1996-12,4521.514,
1997-01,15657.525,
1997-02,4468.396,
1997-03,1450.727,
1997-04,1960.870,
1997-05,796.095,
1997-06,7205.574,
1997-07,6599.725,
1997-08,1843.946,
1997-09,7310.914,
1997-10,-738.227,
1997-11,8985.270,
1997-12,7087.033,
1998-01,11457.198,
1998-02,8038.411,
1998-03,-1044.829,
1998-04,5556.520,
