"",BBK01.CEF209,BBK01.CEF209_FLAGS
"",Currency and deposits                                              debtor: Total           creditor: Non-MMF investment funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:11,
1999-01,35.3,
1999-04,35.4,
1999-07,39.1,
1999-10,39.7,
2000-01,42.9,
2000-04,43.3,
2000-07,46.9,
2000-10,49.5,
2001-01,49.6,
2001-04,49.1,
2001-07,58.0,
2001-10,56.8,
2002-01,54.1,
2002-04,61.5,
2002-07,69.7,
2002-10,63.7,
2003-01,73.7,
2003-04,79.2,
2003-07,80.0,
2003-10,71.7,
2004-01,72.7,
2004-04,71.5,
2004-07,66.9,
2004-10,66.5,
2005-01,67.3,
2005-04,69.0,
2005-07,71.4,
2005-10,68.1,
2006-01,69.0,
2006-04,76.1,
2006-07,71.8,
2006-10,73.8,
2007-01,78.0,
2007-04,85.1,
2007-07,97.0,
2007-10,101.6,
2008-01,115.3,
2008-04,116.1,
2008-07,131.5,
2008-10,137.5,
2009-01,121.8,
2009-04,110.5,
2009-07,93.9,
2009-10,60.4,
2010-01,56.3,
2010-04,57.6,
2010-07,57.9,
2010-10,54.0,
2011-01,62.1,
2011-04,63.4,
2011-07,77.4,
2011-10,73.7,
2012-01,71.7,
2012-04,76.1,
2012-07,73.3,
2012-10,68.1,
2013-01,70.7,
2013-04,74.4,
2013-07,71.5,
2013-10,69.7,
2014-01,69.3,
2014-04,68.4,
2014-07,70.5,
