"",BBSF2.M.1.P.00000.GEL01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.P.00000.GEL01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Public funds / Money market funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:10,
2009-09,8364,
2009-10,8114,
2009-11,7994,
2009-12,7559,
2010-01,7791,
2010-02,7754,
2010-03,7543,
2010-04,7271,
2010-05,7146,
2010-06,6833,
2010-07,6871,
2010-08,6533,
2010-09,6524,
2010-10,6385,
2010-11,6493,
2010-12,6268,
2011-01,6390,
2011-02,6246,
2011-03,6237,
2011-04,6272,
2011-05,6155,
2011-06,5947,
2011-07,4860,
2011-08,5248,
2011-09,5233,
2011-10,5123,
2011-11,4152,
2011-12,4102,
2012-01,3978,
2012-02,3844,
2012-03,3653,
2012-04,3608,
2012-05,3643,
2012-06,3710,
2012-07,3640,
2012-08,3641,
2012-09,3513,
2012-10,3516,
2012-11,3432,
2012-12,3378,
2013-01,3220,
2013-02,3057,
2013-03,2937,
2013-04,2874,
2013-05,2830,
2013-06,3072,
2013-07,3074,
2013-08,3104,
2013-09,3011,
2013-10,2950,
2013-11,2888,
2013-12,2872,
2014-01,3103,
2014-02,3057,
2014-03,2856,
2014-04,2859,
2014-05,2919,
2014-06,2775,
2014-07,2720,
2014-08,2522,
2014-09,2488,
2014-10,2442,
2014-11,2423,
