"",BBK01.BJ2937,BBK01.BJ2937_FLAGS
"","Central, state and local government - budgetary accounts (Germany as a whole) - fixed asset formation",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:07,
1991,43893,
1992,51682,
1993,49581,
1994,47668,
1995,46067,
1996,42901,
1997,40965,
1998,40760,
1999,40796,
2000,40743,
2001,40147,
2002,38739,
2003,36291,
2004,34310,
2005,33032,
2006,33681,
2007,33734,
2008,34979,
2009,38640,
2010,39706,
2011,38470,Provisional value
2012,41027,Provisional value
2013,42390,Provisional value
"",General: For Germany as a whole (excluding hospitals with commercial accounting practices),
