"",BBK01.OECJ10H,BBK01.OECJ10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:06,
2002-01,0.398,
2002-04,0.399,
2002-07,0.393,
2002-10,0.395,
2003-01,0.385,
2003-04,0.285,
2003-07,0.279,
2003-10,0.270,
2004-01,0.261,
2004-04,0.251,
2004-07,0.243,
2004-10,0.237,
2005-01,0.232,
2005-04,0.227,
2005-07,0.221,
2005-10,0.211,
2006-01,0.203,
2006-04,0.197,
2006-07,0.187,
2006-10,0.177,
2007-01,0.170,
2007-04,0.164,
2007-07,0.155,
2007-10,0.147,
2008-01,0.140,
2008-04,0.132,
2008-07,0.123,
2008-10,0.117,
2009-01,0.113,
2009-04,0.105,
2009-07,0.097,
2009-10,0.089,
2010-01,0.083,
2010-04,0.079,
2010-07,0.074,
2010-10,0.069,
2011-01,0.066,
2011-04,-,Nothing exists
2011-07,-,Nothing exists
2011-10,0.001,
2012-01,-,Nothing exists
2012-04,-,Nothing exists
2012-07,-,Nothing exists
2012-10,-,Nothing exists
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
