"",BBFB1.Q.N.DE.R12.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.R12.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Offshore financial centers,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:58,
1991-01,1128.890,
1991-04,1.933,
1991-07,-157.074,
1991-10,336.768,
1992-01,451.945,
1992-04,1030.875,
1992-07,103.202,
1992-10,560.735,
1993-01,-371.425,
1993-04,883.804,
1993-07,-468.207,
1993-10,-644.611,
1994-01,2098.304,
1994-04,1117.313,
1994-07,634.782,
1994-10,30.647,
1995-01,56.297,
1995-04,1340.005,
1995-07,491.855,
1995-10,1946.287,
1996-01,2012.381,
1996-04,731.686,
1996-07,336.264,
1996-10,-291.724,
1997-01,2452.580,
1997-04,1652.349,
1997-07,244.164,
1997-10,1148.213,
1998-01,2474.401,
1998-04,3886.753,
1998-07,-1991.022,
1998-10,9412.927,
1999-01,321.050,
1999-04,14086.998,
1999-07,3230.708,
1999-10,6091.855,
2000-01,874.069,
2000-04,3451.441,
2000-07,-306.426,
2000-10,-4782.747,
2001-01,9165.819,
2001-04,-1667.770,
2001-07,1939.305,
2001-10,-1913.173,
2002-01,14770.825,
2002-04,1186.379,
2002-07,-4062.262,
2002-10,-7122.301,
2003-01,4162.467,
2003-04,-676.179,
2003-07,-9725.846,
2003-10,4934.690,
2004-01,-2757.596,
2004-04,-6647.008,
2004-07,-2446.803,
2004-10,4520.437,
2005-01,87.956,
2005-04,3417.121,
2005-07,33.910,
2005-10,-7842.886,
2006-01,-1345.038,
2006-04,8940.455,
2006-07,7294.515,
2006-10,2417.896,
2007-01,-1682.072,
2007-04,-8842.257,
2007-07,1981.048,
2007-10,5088.471,
2008-01,-1137.224,
2008-04,-3292.088,
2008-07,-6323.011,
2008-10,4654.437,
2009-01,-1656.716,
2009-04,-3086.462,
2009-07,-1346.355,
2009-10,-1800.671,
2010-01,-2023.354,
2010-04,2906.139,
2010-07,-4484.226,
2010-10,961.435,
2011-01,-12574.558,
2011-04,-1830.570,
2011-07,2040.979,
2011-10,3007.896,
2012-01,-448.957,
2012-04,2427.755,
2012-07,1688.744,
2012-10,1892.971,
2013-01,-587.923,
2013-04,-926.407,
2013-07,-2327.484,
2013-10,2086.280,
2014-01,3763.474,
2014-04,6201.407,
2014-07,6172.544,
2014-10,28753.746,
