"",BBFB1.Q.N.DE.BR.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.BR.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Brazil,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:35,
1991-01,119.906,
1991-04,182.147,
1991-07,2.451,
1991-10,164.508,
1992-01,99.308,
1992-04,140.672,
1992-07,5.486,
1992-10,165.536,
1993-01,22.548,
1993-04,96.754,
1993-07,-415.339,
1993-10,54.281,
1994-01,54.036,
1994-04,-379.222,
1994-07,11.053,
1994-10,12.884,
1995-01,201.949,
1995-04,264.775,
1995-07,12.438,
1995-10,116.677,
1996-01,-77.616,
1996-04,167.527,
1996-07,-3.856,
1996-10,292.457,
1997-01,-219.129,
1997-04,-287.130,
1997-07,379.480,
1997-10,77.347,
1998-01,393.759,
1998-04,161.415,
1998-07,-65.983,
1998-10,-416.870,
1999-01,-428.326,
1999-04,-580.970,
1999-07,-50.136,
1999-10,126.559,
2000-01,-269.628,
2000-04,394.989,
2000-07,-195.460,
2000-10,145.363,
2001-01,-106.113,
2001-04,196.828,
2001-07,-26.854,
2001-10,-237.280,
2002-01,45.369,
2002-04,-156.341,
2002-07,-17.002,
2002-10,-190.633,
2003-01,-156.496,
2003-04,-301.246,
2003-07,-264.007,
2003-10,-173.405,
2004-01,-108.140,
2004-04,-73.943,
2004-07,-212.992,
2004-10,-201.224,
2005-01,-206.319,
2005-04,-84.002,
2005-07,-322.163,
2005-10,-188.556,
2006-01,-502.356,
2006-04,-115.120,
2006-07,2.077,
2006-10,-169.195,
2007-01,299.822,
2007-04,172.011,
2007-07,430.682,
2007-10,309.966,
2008-01,100.252,
2008-04,99.849,
2008-07,240.690,
2008-10,-469.073,
2009-01,-479.040,
2009-04,-66.632,
2009-07,436.703,
2009-10,739.128,
2010-01,176.915,
2010-04,131.352,
2010-07,475.468,
2010-10,25.508,
2011-01,298.527,
2011-04,868.328,
2011-07,234.448,
2011-10,-343.404,
2012-01,139.656,
2012-04,-462.519,
2012-07,-1532.584,
2012-10,336.121,
2013-01,-304.788,
2013-04,43.004,
2013-07,359.622,
2013-10,336.031,
2014-01,-38.772,Provisional value
2014-04,-311.252,Provisional value
2014-07,697.264,Provisional value
2014-10,-359.059,Provisional value
