"",BBSF2.M.1.P.00000.AKT01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.P.00000.AKT01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Public funds / Equity funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:13,
2009-09,19888,
2009-10,19407,
2009-11,19365,
2009-12,21418,
2010-01,20135,
2010-02,19768,
2010-03,21161,
2010-04,20275,
2010-05,18834,
2010-06,18347,
2010-07,19289,
2010-08,18521,
2010-09,19276,
2010-10,20190,
2010-11,18990,
2010-12,20598,
2011-01,21284,
2011-02,21562,
2011-03,20581,
2011-04,20665,
2011-05,19941,
2011-06,19892,
2011-07,18685,
2011-08,15982,
2011-09,14713,
2011-10,15693,
2011-11,14958,
2011-12,15241,
2012-01,15907,
2012-02,16092,
2012-03,15510,
2012-04,14424,
2012-05,13324,
2012-06,14286,
2012-07,14963,
2012-08,15386,
2012-09,15721,
2012-10,16109,
2012-11,16520,
2012-12,17197,
2013-01,17828,
2013-02,17439,
2013-03,17460,
2013-04,18101,
2013-05,18480,
2013-06,17468,
2013-07,18859,
2013-08,18838,
2013-09,20006,
2013-10,21454,
2013-11,22061,
2013-12,22235,
2014-01,21641,
2014-02,22719,
2014-03,22738,
2014-04,22894,
2014-05,23353,
2014-06,24037,
2014-07,23493,
2014-08,23853,
2014-09,23846,
2014-10,23221,
2014-11,24331,
