"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.DK.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.DK.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Denmark,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:54,
2009-09,6757,
2009-10,7080,
2009-11,7505,
2009-12,8227,
2010-01,7694,
2010-02,7582,
2010-03,7757,
2010-04,7903,
2010-05,7856,
2010-06,8125,
2010-07,8254,
2010-08,8306,
2010-09,8502,
2010-10,8818,
2010-11,8646,
2010-12,9076,
2011-01,8316,
2011-02,8473,
2011-03,8506,
2011-04,8465,
2011-05,8750,
2011-06,8793,
2011-07,8976,
2011-08,8717,
2011-09,8587,
2011-10,8628,
2011-11,8493,
2011-12,8597,
2012-01,8479,
2012-02,8725,
2012-03,8759,
2012-04,8840,
2012-05,9032,
2012-06,9277,
2012-07,9689,
2012-08,9856,
2012-09,10048,
2012-10,10019,
2012-11,10157,
2012-12,10554,
2013-01,10055,
2013-02,10472,
2013-03,10740,
2013-04,10830,
2013-05,10974,
2013-06,10615,
2013-07,10826,
2013-08,10978,
2013-09,11468,
2013-10,11490,
2013-11,11526,
2013-12,11605,
2014-01,11344,
2014-02,11565,
2014-03,11727,
2014-04,11682,
2014-05,12158,
2014-06,12985,
2014-07,12939,
2014-08,13010,
2014-09,13258,
2014-10,13477,
2014-11,13698,
