"",BBK01.OEAC14Q,BBK01.OEAC14Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:06,
2002-01,21.432,
2002-04,21.298,
2002-07,20.691,
2002-10,20.646,
2003-01,20.526,
2003-04,23.184,
2003-07,22.896,
2003-10,22.382,
2004-01,22.106,
2004-04,19.419,
2004-07,19.133,
2004-10,18.897,
2005-01,18.639,
2005-04,18.693,
2005-07,18.627,
2005-10,18.365,
2006-01,18.239,
2006-04,18.643,
2006-07,18.082,
2006-10,17.713,
2007-01,17.977,
2007-04,16.851,
2007-07,15.169,
2007-10,15.028,
2008-01,14.941,
2008-04,14.897,
2008-07,14.890,
2008-10,14.825,
2009-01,14.733,
2009-04,15.157,
2009-07,15.208,
2009-10,15.316,
2010-01,15.332,
2010-04,15.568,
2010-07,15.675,
2010-10,15.587,
2011-01,15.271,
2011-04,15.294,
2011-07,15.148,
2011-10,15.631,
2012-01,15.688,
2012-04,16.241,
2012-07,16.149,
2012-10,16.129,
2013-01,16.212,
2013-04,16.183,
2013-07,16.135,
2013-10,16.105,
2014-01,16.111,
2014-04,16.197,
2014-07,16.209,
