"",BBSF2.M.1.P.00000.REN01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Public funds / Bonds funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation) / All issuer sectors",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:34,
2009-09,131,
2009-10,120,
2009-11,113,
2009-12,122,
2010-01,112,
2010-02,123,
2010-03,140,
2010-04,127,
2010-05,138,
2010-06,137,
2010-07,162,
2010-08,126,
2010-09,119,
2010-10,128,
2010-11,123,
2010-12,127,
2011-01,122,
2011-02,127,
2011-03,141,
2011-04,138,
2011-05,145,
2011-06,127,
2011-07,121,
2011-08,114,
2011-09,110,
2011-10,114,
2011-11,113,
2011-12,112,
2012-01,104,
2012-02,115,
2012-03,114,
2012-04,134,
2012-05,139,
2012-06,139,
2012-07,146,
2012-08,122,
2012-09,124,
2012-10,131,
2012-11,142,
2012-12,148,
2013-01,154,
2013-02,153,
2013-03,161,
2013-04,159,
2013-05,164,
2013-06,156,
2013-07,172,
2013-08,164,
2013-09,166,
2013-10,168,
2013-11,169,
2013-12,169,
2014-01,167,
2014-02,175,
2014-03,182,
2014-04,188,
2014-05,201,
2014-06,208,
2014-07,227,
2014-08,242,
2014-09,267,
2014-10,273,
2014-11,287,
