"",BBK01.OEAH85O,BBK01.OEAH85O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:19,
2002-01,-8.867,
2002-04,-7.038,
2002-07,-6.614,
2002-10,-8.447,
2003-01,-4.587,
2003-04,-4.589,
2003-07,-5.629,
2003-10,-3.848,
2004-01,-3.050,
2004-04,-2.285,
2004-07,-1.894,
2004-10,-1.935,
2005-01,3.002,
2005-04,3.091,
2005-07,3.607,
2005-10,3.397,
2006-01,3.242,
2006-04,3.486,
2006-07,3.593,
2006-10,3.168,
2007-01,3.001,
2007-04,3.453,
2007-07,3.053,
2007-10,3.708,
2008-01,3.875,
2008-04,2.843,
2008-07,2.736,
2008-10,2.339,
2009-01,2.215,
2009-04,2.022,
2009-07,2.250,
2009-10,2.181,
2010-01,2.472,
2010-04,2.452,
2010-07,2.510,
2010-10,2.441,
2011-01,2.377,
2011-04,2.260,
2011-07,2.364,
2011-10,2.502,
2012-01,2.509,
2012-04,2.552,
2012-07,2.496,
2012-10,2.755,
2013-01,2.732,
2013-04,2.803,
2013-07,2.450,
2013-10,2.550,
2014-01,2.521,
2014-04,2.392,
2014-07,2.421,
