"",BBDA1.M.DE.Y.IM.S.GP09I028.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09I028.W1.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / 28 Machinery and equipment / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:39,
2008-01,5.78,
2008-02,6.02,
2008-03,5.81,
2008-04,5.70,
2008-05,5.73,
2008-06,5.62,
2008-07,5.72,
2008-08,5.81,
2008-09,5.65,
2008-10,5.50,
2008-11,5.96,
2008-12,5.38,
2009-01,5.27,
2009-02,4.80,
2009-03,4.38,
2009-04,4.14,
2009-05,4.16,
2009-06,4.01,
2009-07,4.16,
2009-08,4.07,
2009-09,4.19,
2009-10,4.24,
2009-11,4.29,
2009-12,4.76,
2010-01,4.48,
2010-02,4.43,
2010-03,4.67,
2010-04,4.71,
2010-05,4.93,
2010-06,5.22,
2010-07,5.17,
2010-08,5.35,
2010-09,5.43,
2010-10,5.51,
2010-11,5.43,
2010-12,5.60,
2011-01,5.82,
2011-02,5.78,
2011-03,5.97,
2011-04,6.14,
2011-05,5.85,
2011-06,5.99,
2011-07,5.97,
2011-08,5.91,
2011-09,5.78,
2011-10,6.16,
2011-11,6.07,
2011-12,6.08,
2012-01,5.77,
2012-02,6.08,
2012-03,5.83,
2012-04,5.84,
2012-05,6.04,
2012-06,5.78,
2012-07,5.67,
2012-08,5.72,
2012-09,5.61,
2012-10,5.60,
2012-11,5.58,
2012-12,5.44,
2013-01,5.58,
2013-02,5.66,
2013-03,5.61,
2013-04,5.70,
2013-05,5.64,
2013-06,5.64,
2013-07,5.62,
2013-08,5.79,
2013-09,5.68,
2013-10,5.66,
2013-11,5.76,
2013-12,5.78,
2014-01,6.07,
2014-02,6.17,
2014-03,5.99,
2014-04,6.09,
2014-05,5.96,
2014-06,6.22,
2014-07,6.25,
2014-08,5.97,
2014-09,6.17,
2014-10,6.07,
2014-11,5.94,
2014-12,5.83,
