"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.ES.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.ES.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Spain / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:46,
2009-09,8048,
2009-10,8400,
2009-11,8573,
2009-12,8720,
2010-01,9147,
2010-02,9745,
2010-03,9863,
2010-04,8851,
2010-05,7796,
2010-06,7525,
2010-07,8237,
2010-08,8456,
2010-09,8724,
2010-10,9234,
2010-11,7998,
2010-12,7681,
2011-01,8060,
2011-02,8357,
2011-03,8653,
2011-04,9035,
2011-05,8542,
2011-06,8155,
2011-07,7840,
2011-08,7637,
2011-09,7622,
2011-10,7147,
2011-11,6470,
2011-12,6654,
2012-01,6412,
2012-02,6633,
2012-03,6441,
2012-04,5967,
2012-05,5317,
2012-06,4697,
2012-07,4574,
2012-08,4864,
2012-09,5536,
2012-10,6324,
2012-11,8336,
2012-12,8714,
2013-01,9990,
2013-02,10123,
2013-03,10331,
2013-04,11015,
2013-05,11060,
2013-06,10949,
2013-07,11210,
2013-08,11584,
2013-09,11958,
2013-10,11238,
2013-11,11495,
2013-12,11801,
2014-01,12873,
2014-02,13681,
2014-03,14246,
2014-04,14495,
2014-05,14786,
2014-06,14422,
2014-07,15235,
2014-08,15756,
2014-09,16064,
2014-10,16038,
2014-11,17261,
