"",BBFB1.Q.N.DE.US.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:54,
1991-01,5039.843,
1991-04,580.127,
1991-07,610.484,
1991-10,606.857,
1992-01,682.413,
1992-04,724.086,
1992-07,741.884,
1992-10,811.798,
1993-01,980.707,
1993-04,864.010,
1993-07,882.029,
1993-10,908.849,
1994-01,1408.678,
1994-04,1452.434,
1994-07,1424.112,
1994-10,1395.234,
1995-01,453.173,
1995-04,439.234,
1995-07,456.239,
1995-10,450.297,
1996-01,1290.130,
1996-04,1339.078,
1996-07,1361.355,
1996-10,1396.540,
1997-01,1851.836,
1997-04,1842.793,
1997-07,1844.656,
1997-10,1814.429,
1998-01,562.455,
1998-04,614.299,
1998-07,646.621,
1998-10,651.688,
1999-01,741.562,
1999-04,789.511,
1999-07,818.168,
1999-10,883.186,
2000-01,1372.752,
2000-04,1226.407,
2000-07,1281.738,
2000-10,1596.253,
2001-01,1747.206,
2001-04,1876.863,
2001-07,1784.524,
2001-10,1822.550,
2002-01,4416.429,
2002-04,4768.723,
2002-07,4371.742,
2002-10,5284.952,
2003-01,3029.632,
2003-04,2918.236,
2003-07,3102.386,
2003-10,2711.286,
2004-01,1467.827,
2004-04,1507.024,
2004-07,1485.854,
2004-10,1475.689,
2005-01,1710.501,
2005-04,1815.110,
2005-07,1694.729,
2005-10,2035.166,
2006-01,821.479,
2006-04,684.331,
2006-07,860.323,
2006-10,627.676,
2007-01,2087.934,
2007-04,2138.762,
2007-07,2309.374,
2007-10,2107.815,
2008-01,1545.089,
2008-04,1770.956,
2008-07,1826.384,
2008-10,1625.620,
2009-01,1516.602,
2009-04,1975.927,
2009-07,1249.242,
2009-10,1685.968,
2010-01,1182.926,
2010-04,1339.235,
2010-07,1337.787,
2010-10,1551.310,
2011-01,1519.167,
2011-04,1753.179,
2011-07,1616.000,
2011-10,1665.151,
2012-01,1372.798,
2012-04,1362.925,
2012-07,1377.941,
2012-10,1474.220,
2013-01,1290.961,
2013-04,1162.873,
2013-07,1126.461,
2013-10,1345.593,
2014-01,1904.257,Provisional value
2014-04,1907.994,Provisional value
2014-07,2420.780,Provisional value
