"",BBSF2.M.1.T.00000.TOT01.I.F.INV.US.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.US.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares / United States,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:23,
2011-03,148,
2011-04,149,
2011-05,656,
2011-06,933,
2011-07,1043,
2011-08,1005,
2011-09,197,
2011-10,204,
2011-11,202,
2011-12,199,
2012-01,214,
2012-02,207,
2012-03,196,
2012-04,192,
2012-05,193,
2012-06,172,
2012-07,176,
2012-08,175,
2012-09,196,
2012-10,190,
2012-11,183,
2012-12,178,
2013-01,137,
2013-02,139,
2013-03,158,
2013-04,142,
2013-05,116,
2013-06,113,
2013-07,111,
2013-08,109,
2013-09,104,
2013-10,151,
2013-11,163,
2013-12,201,
2014-01,209,
2014-02,214,
2014-03,198,
2014-04,165,
2014-05,133,
2014-06,136,
2014-07,135,
2014-08,137,
2014-09,147,
2014-10,155,
2014-11,151,
