"",BBK01.OEAD07H,BBK01.OEAD07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:44,
2002-01,3.800,
2002-04,3.773,
2002-07,3.740,
2002-10,3.574,
2003-01,3.467,
2003-04,3.551,
2003-07,3.407,
2003-10,3.228,
2004-01,3.305,
2004-04,3.085,
2004-07,2.922,
2004-10,2.739,
2005-01,2.641,
2005-04,2.713,
2005-07,2.556,
2005-10,2.372,
2006-01,2.432,
2006-04,2.452,
2006-07,2.426,
2006-10,2.353,
2007-01,2.362,
2007-04,2.403,
2007-07,2.280,
2007-10,2.221,
2008-01,2.191,
2008-04,2.365,
2008-07,2.275,
2008-10,2.157,
2009-01,2.115,
2009-04,1.843,
2009-07,1.813,
2009-10,1.697,
2010-01,1.681,
2010-04,1.772,
2010-07,1.855,
2010-10,1.839,
2011-01,1.887,
2011-04,1.867,
2011-07,2.089,
2011-10,2.142,
2012-01,2.232,
2012-04,2.269,
2012-07,2.091,
2012-10,2.019,
2013-01,2.384,
2013-04,2.073,
2013-07,2.028,
2013-10,1.993,
2014-01,1.926,
2014-04,1.972,
2014-07,1.899,
