"",BBK01.OEXJ02U,BBK01.OEXJ02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:34,
2002-01,0.176,
2002-04,0.197,
2002-07,0.216,
2002-10,0.241,
2003-01,0.247,
2003-04,0.267,
2003-07,0.275,
2003-10,0.293,
2004-01,0.285,
2004-04,0.347,
2004-07,0.373,
2004-10,0.391,
2005-01,0.396,
2005-04,0.403,
2005-07,0.407,
2005-10,0.436,
2006-01,0.401,
2006-04,0.414,
2006-07,0.431,
2006-10,0.448,
2007-01,0.391,
2007-04,0.354,
2007-07,0.367,
2007-10,0.389,
2008-01,0.342,
2008-04,0.305,
2008-07,0.304,
2008-10,0.411,
2009-01,0.652,
2009-04,0.761,
2009-07,1.054,
2009-10,1.091,
2010-01,1.161,
2010-04,1.115,
2010-07,1.138,
2010-10,1.128,
2011-01,1.124,
2011-04,1.142,
2011-07,1.174,
2011-10,0.932,
2012-01,0.830,
2012-04,0.757,
2012-07,0.590,
2012-10,0.616,
2013-01,0.611,
2013-04,0.684,
2013-07,0.717,
2013-10,0.735,
2014-01,0.746,
2014-04,0.698,
2014-07,0.715,
