"",BBK01.OEXO01V,BBK01.OEXO01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:16,
2002-01,1.569,
2002-04,1.500,
2002-07,1.428,
2002-10,1.438,
2003-01,1.459,
2003-04,1.398,
2003-07,1.359,
2003-10,1.347,
2004-01,1.366,
2004-04,0.971,
2004-07,0.974,
2004-10,0.897,
2005-01,0.933,
2005-04,1.001,
2005-07,0.913,
2005-10,0.848,
2006-01,0.873,
2006-04,0.889,
2006-07,0.891,
2006-10,0.937,
2007-01,1.004,
2007-04,1.208,
2007-07,1.289,
2007-10,1.386,
2008-01,1.570,
2008-04,1.675,
2008-07,1.717,
2008-10,1.759,
2009-01,2.104,
2009-04,2.004,
2009-07,1.953,
2009-10,1.954,
2010-01,1.815,
2010-04,1.654,
2010-07,1.600,
2010-10,1.581,
2011-01,1.761,
2011-04,1.896,
2011-07,1.885,
2011-10,1.891,
2012-01,1.849,
2012-04,1.776,
2012-07,1.757,
2012-10,1.763,
2013-01,1.612,
2013-04,1.492,
2013-07,1.400,
2013-10,1.378,
2014-01,1.362,
2014-04,1.342,
2014-07,1.310,
