"",BBFB1.Q.N.DE.A1.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:13,
1991-01,-541.417,
1991-04,282.216,
1991-07,-364.968,
1991-10,768.522,
1992-01,-792.595,
1992-04,-409.838,
1992-07,-635.977,
1992-10,-698.242,
1993-01,294.016,
1993-04,-448.441,
1993-07,-1.996,
1993-10,485.521,
1994-01,367.718,
1994-04,356.688,
1994-07,278.706,
1994-10,787.316,
1995-01,356.758,
1995-04,269.215,
1995-07,1668.375,
1995-10,715.136,
1996-01,449.864,
1996-04,-449.847,
1996-07,-547.105,
1996-10,4045.210,
1997-01,3066.745,
1997-04,-366.294,
1997-07,-385.656,
1997-10,-631.604,
1998-01,8129.691,
1998-04,689.404,
1998-07,-2384.532,
1998-10,-1912.151,
1999-01,8072.066,
1999-04,8076.880,
1999-07,-10551.084,
1999-10,3868.991,
2000-01,12046.720,
2000-04,4894.408,
2000-07,-11569.218,
2000-10,3265.349,
2001-01,12268.877,
2001-04,10465.765,
2001-07,-5339.084,
2001-10,-5391.543,
2002-01,-10852.256,
2002-04,550.151,
2002-07,-2247.494,
2002-10,2475.937,
2003-01,2004.766,
2003-04,316.433,
2003-07,2238.103,
2003-10,-4239.416,
2004-01,557.979,
2004-04,-2644.595,
2004-07,-2503.441,
2004-10,3120.517,
2005-01,-2177.516,
2005-04,-890.355,
2005-07,-2765.730,
2005-10,2697.799,
2006-01,2239.639,
2006-04,3122.915,
2006-07,-285.840,
2006-10,11850.907,
2007-01,2942.738,
2007-04,2335.942,
2007-07,2087.747,
2007-10,8924.120,
2008-01,474.733,
2008-04,-1496.821,
2008-07,-5166.476,
2008-10,639.600,
2009-01,-3381.980,
2009-04,-3463.924,
2009-07,-1948.265,
2009-10,2558.396,
2010-01,1761.178,
2010-04,4328.083,
2010-07,1042.266,
2010-10,5080.826,
2011-01,-656.783,
2011-04,134.822,
2011-07,4135.180,
2011-10,4493.143,
2012-01,990.907,
2012-04,2051.769,
2012-07,3112.891,
2012-10,2413.180,
2013-01,151.687,
2013-04,2628.984,
2013-07,72.009,
2013-10,2820.506,
2014-01,927.389,Provisional value
2014-04,2137.584,Provisional value
2014-07,1817.833,Provisional value
2014-10,-2059.119,Provisional value
