"",BBK01.PQN354,BBK01.PQN354_FLAGS
"",Lending to domestic enterprises / Total / Banks with special functions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:18,
1968-10,4.852,
1969-01,5.035,
1969-04,5.098,
1969-07,5.239,
1969-10,5.342,
1970-01,5.537,
1970-04,5.795,
1970-07,5.787,
1970-10,6.227,
1971-01,6.375,
1971-04,6.365,
1971-07,6.565,
1971-10,6.720,
1972-01,6.924,
1972-04,7.140,
1972-07,7.301,
1972-10,7.653,
1973-01,7.837,
1973-04,7.886,
1973-07,8.077,
1973-10,8.146,
1974-01,8.279,
1974-04,8.491,
1974-07,8.635,
1974-10,8.695,
1975-01,8.820,
1975-04,8.799,
1975-07,8.873,
1975-10,9.014,
1976-01,8.959,
1976-04,9.179,
1976-07,9.439,
1976-10,9.315,
1977-01,9.268,
1977-04,9.112,
1977-07,9.186,
1977-10,9.343,
1978-01,9.208,
1978-04,9.156,
1978-07,9.313,
1978-10,9.442,
1979-01,9.530,
1979-04,9.684,
1979-07,9.970,
1979-10,10.322,
1980-01,10.423,
1980-04,10.675,
1980-07,10.934,
1980-10,11.263,
1981-01,11.450,
1981-04,11.752,
1981-07,12.149,
1981-10,12.503,
1982-01,12.499,
1982-04,12.586,
1982-07,12.736,
1982-10,12.993,
1983-01,13.076,
1983-04,13.278,
1983-07,13.358,
1983-10,13.679,
1984-01,13.746,
1984-04,13.732,
1984-07,14.140,
1984-10,14.571,
1985-01,14.542,
1985-04,14.858,
1985-07,15.254,
1985-10,16.165,
1986-01,16.155,
1986-04,16.728,
1986-07,17.326,
1986-10,17.760,
1987-01,17.660,
1987-04,17.836,
1987-07,18.250,
1987-10,18.461,
1988-01,18.340,
1988-04,18.267,
1988-07,18.868,
1988-10,19.042,
1989-01,18.925,
1989-04,19.268,
1989-07,19.541,
1989-10,20.688,
1990-01,20.792,
1990-04,21.653,
1990-07,22.832,
1990-10,23.737,
1991-01,24.453,
1991-04,25.215,
1991-07,26.898,
1991-10,36.529,
1992-01,53.018,
1992-04,54.206,
1992-07,61.284,
1992-10,66.859,
1993-01,102.479,
1993-04,97.772,
1993-07,92.148,
1993-10,90.316,
1994-01,87.379,
1994-04,82.396,
1994-07,76.893,
1994-10,51.158,
1995-01,45.546,
1995-04,34.714,
1995-07,35.173,
1995-10,36.144,
1996-01,35.715,
1996-04,39.545,
1996-07,40.809,
1996-10,42.132,
1997-01,42.386,
1997-04,42.762,
1997-07,43.458,
1997-10,45.576,
1998-01,46.130,
1998-04,46.663,
1998-07,49.244,
1998-10,51.864,
1999-01,45.469,
1999-04,45.638,
1999-07,46.766,
1999-10,50.576,
2000-01,49.234,
2000-04,44.734,
2000-07,45.860,
2000-10,47.363,
2001-01,48.038,
2001-04,47.961,
2001-07,49.503,
2001-10,51.343,
2002-01,50.675,
2002-04,50.741,
2002-07,51.125,
2002-10,50.782,
2003-01,51.007,
2003-04,52.786,
2003-07,53.167,
2003-10,54.713,
2004-01,53.551,
2004-04,54.360,
2004-07,63.080,
2004-10,65.930,
2005-01,64.892,
2005-04,66.215,
2005-07,64.714,
2005-10,65.450,
2006-01,72.896,
2006-04,73.716,
2006-07,73.590,
2006-10,74.590,
2007-01,72.444,
2007-04,72.579,
2007-07,73.735,
2007-10,77.729,
2008-01,75.609,
2008-04,74.157,
2008-07,80.193,
2008-10,87.929,
2009-01,95.913,
2009-04,100.164,
2009-07,92.964,
2009-10,96.031,
2010-01,100.628,
2010-04,99.470,
2010-07,96.410,
2010-10,96.608,
2011-01,92.685,
2011-04,99.343,
2011-07,99.463,
2011-10,103.405,
2012-01,105.761,
2012-04,103.557,
2012-07,106.661,
2012-10,108.766,
2013-01,109.413,
2013-04,104.872,
2013-07,77.831,
2013-10,80.424,
2014-01,79.021,
2014-04,78.176,
2014-07,77.567,
2014-10,75.895,
