"",BBSF2.M.1.T.00000.IMM01.I.F.UBS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.UBS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:51,
2009-09,1168,
2009-10,1124,
2009-11,1123,
2009-12,748,
2010-01,707,
2010-02,704,
2010-03,692,
2010-04,670,
2010-05,659,
2010-06,948,
2010-07,933,
2010-08,948,
2010-09,875,
2010-10,888,
2010-11,897,
2010-12,908,
2011-01,924,
2011-02,901,
2011-03,1048,
2011-04,963,
2011-05,987,
2011-06,1404,
2011-07,1438,
2011-08,1128,
2011-09,1260,
2011-10,1085,
2011-11,1091,
2011-12,1076,
2012-01,1092,
2012-02,1126,
2012-03,1147,
2012-04,1157,
2012-05,1165,
2012-06,1168,
2012-07,1429,
2012-08,1437,
2012-09,978,
2012-10,980,
2012-11,1008,
2012-12,1220,
2013-01,1435,
2013-02,1371,
2013-03,1398,
2013-04,1633,
2013-05,1238,
2013-06,1137,
2013-07,1173,
2013-08,1133,
2013-09,1080,
2013-10,1105,
2013-11,1535,
2013-12,1555,
2014-01,1687,
2014-02,1700,
2014-03,1378,
2014-04,1286,
2014-05,1298,
2014-06,1312,
2014-07,1333,
2014-08,1395,
2014-09,1406,
2014-10,1641,
2014-11,728,
