"",BBNZ1.Q.DE.N.K.0161.A,BBNZ1.Q.DE.N.K.0161.A_FLAGS
"",Germany / National accounts / Use of GDP / Changes in inventories and net increase in valuables / Contribution of growth to GDP,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:43,
1992-01,-0.9,
1992-04,-1.4,
1992-07,-1.2,
1992-10,-0.7,
1993-01,-2.0,
1993-04,-0.7,
1993-07,0.1,
1993-10,0.4,
1994-01,0.0,
1994-04,-0.6,
1994-07,-0.2,
1994-10,0.6,
1995-01,1.1,
1995-04,0.4,
1995-07,0.0,
1995-10,-0.4,
1996-01,-0.4,
1996-04,-0.6,
1996-07,-1.1,
1996-10,-0.7,
1997-01,-0.7,
1997-04,0.3,
1997-07,0.6,
1997-10,0.6,
1998-01,0.4,
1998-04,0.5,
1998-07,0.3,
1998-10,0.0,
1999-01,0.2,
1999-04,-0.2,
1999-07,0.1,
1999-10,0.1,
2000-01,-0.1,
2000-04,0.2,
2000-07,0.1,
2000-10,0.2,
2001-01,0.1,
2001-04,0.2,
2001-07,-0.4,
2001-10,-0.9,
2002-01,-0.9,
2002-04,-0.6,
2002-07,-0.4,
2002-10,-0.7,
2003-01,0.8,
2003-04,0.0,
2003-07,-0.1,
2003-10,0.9,
2004-01,-1.0,
2004-04,-1.1,
2004-07,0.3,
2004-10,-0.6,
2005-01,-0.4,
2005-04,0.2,
2005-07,-0.8,
2005-10,0.0,
2006-01,1.7,
2006-04,0.3,
2006-07,0.7,
2006-10,-1.5,
2007-01,0.3,
2007-04,0.1,
2007-07,0.7,
2007-10,1.1,
2008-01,0.1,
2008-04,-0.4,
2008-07,-0.1,
2008-10,0.1,
2009-01,-0.7,
2009-04,-1.8,
2009-07,-2.0,
2009-10,-1.8,
2010-01,0.3,
2010-04,2.3,
2010-07,1.2,
2010-10,1.3,
2011-01,0.6,
2011-04,0.0,
2011-07,0.1,
2011-10,-0.6,
2012-01,-1.1,
2012-04,-1.8,
2012-07,-1.7,
2012-10,-0.8,
2013-01,-0.2,
2013-04,0.1,
2013-07,0.5,
2013-10,0.2,
2014-01,0.1,
2014-04,0.1,
2014-07,-0.8,
2014-10,-0.8,
