"",BBK01.OEXJ03J,BBK01.OEXJ03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:36,
2002-01,0.179,
2002-04,0.169,
2002-07,0.178,
2002-10,0.160,
2003-01,0.183,
2003-04,0.177,
2003-07,0.184,
2003-10,0.193,
2004-01,0.205,
2004-04,0.164,
2004-07,0.185,
2004-10,0.185,
2005-01,0.200,
2005-04,0.211,
2005-07,0.229,
2005-10,0.261,
2006-01,0.281,
2006-04,0.272,
2006-07,0.228,
2006-10,0.210,
2007-01,0.257,
2007-04,0.212,
2007-07,0.243,
2007-10,0.304,
2008-01,0.308,
2008-04,0.316,
2008-07,0.358,
2008-10,0.360,
2009-01,0.340,
2009-04,0.290,
2009-07,0.338,
2009-10,0.382,
2010-01,0.347,
2010-04,0.285,
2010-07,0.359,
2010-10,0.380,
2011-01,0.335,
2011-04,0.330,
2011-07,0.388,
2011-10,0.402,
2012-01,0.434,
2012-04,0.330,
2012-07,0.394,
2012-10,0.371,
2013-01,0.339,
2013-04,0.356,
2013-07,0.408,
2013-10,0.401,
2014-01,0.545,
2014-04,0.583,
2014-07,0.623,
