"",BBSF2.M.1.S.00000.AKT01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.AKT01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Special investors funds / Equity funds / Long-term debt securities / Germany,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:22,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,1294,
1993-05,1541,
1993-06,1532,
1993-07,1507,
1993-08,1611,
1993-09,1582,
1993-10,1637,
1993-11,1658,
1993-12,1683,
1994-01,1507,
1994-02,1461,
1994-03,1452,
1994-04,1497,
1994-05,1440,
1994-06,1451,
1994-07,1471,
1994-08,1430,
1994-09,1441,
1994-10,1450,
1994-11,1442,
1994-12,1449,
1995-01,1452,
1995-02,1452,
1995-03,1536,
1995-04,1548,
1995-05,1615,
1995-06,1619,
1995-07,1616,
1995-08,1648,
1995-09,1592,
1995-10,1622,
1995-11,1655,
1995-12,1608,
1996-01,1620,
1996-02,1618,
1996-03,1638,
1996-04,1728,
1996-05,1667,
1996-06,1662,
1996-07,1686,
1996-08,1709,
1996-09,1742,
1996-10,1776,
1996-11,1704,
1996-12,1785,
1997-01,1915,
1997-02,1972,
1997-03,2014,
1997-04,2069,
1997-05,2129,
1997-06,2203,
1997-07,2226,
1997-08,2112,
1997-09,3080,
1997-10,4948,
1997-11,4999,
1997-12,5045,
1998-01,5029,
1998-02,5263,
1998-03,5625,
1998-04,5256,
1998-05,5350,
1998-06,5518,
1998-07,5637,
1998-08,5914,
1998-09,5049,
1998-10,4265,
1998-11,4256,
1998-12,5044,
1999-01,5638,
1999-02,5729,
1999-03,5123,
1999-04,5194,
1999-05,4879,
1999-06,4741,
1999-07,4411,
1999-08,4640,
1999-09,4234,
1999-10,4189,
1999-11,4157,
1999-12,4100,
2000-01,4568,
2000-02,4817,
2000-03,4852,
2000-04,4824,
2000-05,4755,
2000-06,4351,
2000-07,4043,
2000-08,3973,
2000-09,3884,
2000-10,3892,
2000-11,4139,
2000-12,4207,
2001-01,4515,
2001-02,4301,
2001-03,4258,
2001-04,3997,
2001-05,4045,
2001-06,4182,
2001-07,4177,
2001-08,4322,
2001-09,4703,
2001-10,4724,
2001-11,4630,
2001-12,4364,
2002-01,4296,
2002-02,4565,
2002-03,4601,
2002-04,3961,
2002-05,3836,
2002-06,3875,
2002-07,3809,
2002-08,3877,
2002-09,4042,
2002-10,4420,
2002-11,4621,
2002-12,4648,
2003-01,6223,
2003-02,6846,
2003-03,5825,
2003-04,6186,
2003-05,6665,
2003-06,6384,
2003-07,6188,
2003-08,5858,
2003-09,5626,
2003-10,6041,
2003-11,6959,
2003-12,6836,
2004-01,5472,
2004-02,5799,
2004-03,5711,
2004-04,5493,
2004-05,5251,
2004-06,5241,
2004-07,5374,
2004-08,5377,
2004-09,5863,
2004-10,6113,
2004-11,6111,
2004-12,6369,
2005-01,6343,
2005-02,6129,
2005-03,5923,
2005-04,5738,
2005-05,6069,
2005-06,6127,
2005-07,6076,
2005-08,5989,
2005-09,6028,
2005-10,6010,
2005-11,6109,
2005-12,6397,
2006-01,5974,
2006-02,5821,
2006-03,6057,
2006-04,5868,
2006-05,6164,
2006-06,6370,
2006-07,6840,
2006-08,6950,
2006-09,4863,
2006-10,4783,
2006-11,4796,
2006-12,4847,
2007-01,4341,
2007-02,4206,
2007-03,4370,
2007-04,3933,
2007-05,3818,
2007-06,3957,
2007-07,4498,
2007-08,4479,
2007-09,4251,
2007-10,4204,
2007-11,4502,
2007-12,4799,
2008-01,5254,
2008-02,5073,
2008-03,5071,
2008-04,5008,
2008-05,4720,
2008-06,4794,
2008-07,4966,
2008-08,5023,
2008-09,5290,
2008-10,6165,
2008-11,8997,
2008-12,8900,
2009-01,8654,
2009-02,8715,
2009-03,8753,
2009-04,5846,
2009-05,5488,
2009-06,4656,
2009-07,4384,
2009-08,4551,
2009-09,4932,
2009-10,4939,
2009-11,4719,
2009-12,4488,
2010-01,3953,
2010-02,3982,
2010-03,3896,
2010-04,3968,
2010-05,4124,
2010-06,4100,
2010-07,4002,
2010-08,3964,
2010-09,3759,
2010-10,3763,
2010-11,3703,
2010-12,3881,
2011-01,3624,
2011-02,3445,
2011-03,3096,
2011-04,3017,
2011-05,3060,
2011-06,2905,
2011-07,2832,
2011-08,2611,
2011-09,2694,
2011-10,2484,
2011-11,2899,
2011-12,2944,
2012-01,2858,
2012-02,2798,
2012-03,2738,
2012-04,2787,
2012-05,2846,
2012-06,2739,
2012-07,2750,
2012-08,2816,
2012-09,2786,
2012-10,2799,
2012-11,2839,
2012-12,2922,
2013-01,2887,
2013-02,2972,
2013-03,2930,
2013-04,2904,
2013-05,2840,
2013-06,2906,
2013-07,2824,
2013-08,2862,
2013-09,2733,
2013-10,2523,
2013-11,2506,
2013-12,2525,
2014-01,2588,
2014-02,2569,
2014-03,2672,
2014-04,2842,
2014-05,2807,
2014-06,2692,
2014-07,2770,
2014-08,2878,
2014-09,2929,
2014-10,1779,
2014-11,1707,
