"",BBK01.OEAC51G,BBK01.OEAC51G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:03,
2002-01,3.054,
2002-04,3.049,
2002-07,3.061,
2002-10,3.083,
2003-01,3.056,
2003-04,3.053,
2003-07,3.077,
2003-10,3.098,
2004-01,3.078,
2004-04,3.080,
2004-07,3.134,
2004-10,3.141,
2005-01,3.098,
2005-04,3.119,
2005-07,3.160,
2005-10,3.217,
2006-01,3.212,
2006-04,3.238,
2006-07,3.257,
2006-10,3.299,
2007-01,3.285,
2007-04,3.318,
2007-07,3.332,
2007-10,3.377,
2008-01,3.358,
2008-04,3.400,
2008-07,3.490,
2008-10,3.525,
2009-01,3.369,
2009-04,3.360,
2009-07,3.420,
2009-10,3.508,
2010-01,3.534,
2010-04,3.693,
2010-07,3.739,
2010-10,3.796,
2011-01,3.743,
2011-04,3.761,
2011-07,3.779,
2011-10,3.827,
2012-01,3.804,
2012-04,3.840,
2012-07,3.881,
2012-10,3.895,
2013-01,3.859,
2013-04,3.887,
2013-07,3.907,
2013-10,3.891,
2014-01,3.922,
2014-04,3.938,
2014-07,3.959,
