"",BBK01.OEAJ05U,BBK01.OEAJ05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:28,
2002-01,0.097,
2002-04,0.096,
2002-07,0.097,
2002-10,0.089,
2003-01,0.079,
2003-04,0.075,
2003-07,0.072,
2003-10,0.073,
2004-01,0.071,
2004-04,0.066,
2004-07,0.066,
2004-10,0.056,
2005-01,0.054,
2005-04,0.061,
2005-07,0.059,
2005-10,0.067,
2006-01,0.068,
2006-04,0.069,
2006-07,0.069,
2006-10,0.067,
2007-01,0.078,
2007-04,0.047,
2007-07,0.057,
2007-10,0.057,
2008-01,0.055,
2008-04,0.064,
2008-07,0.250,
2008-10,0.243,
2009-01,0.381,
2009-04,0.387,
2009-07,0.402,
2009-10,0.431,
2010-01,0.472,
2010-04,0.528,
2010-07,0.538,
2010-10,0.547,
2011-01,0.547,
2011-04,0.601,
2011-07,0.628,
2011-10,0.615,
2012-01,0.633,
2012-04,0.670,
2012-07,0.668,
2012-10,0.774,
2013-01,0.843,
2013-04,0.948,
2013-07,0.963,
2013-10,0.972,
2014-01,0.984,
2014-04,1.078,
2014-07,1.063,
