"",BBK01.QUA522,BBK01.QUA522_FLAGS
"","All foreign subsidiaries: Liabilities to non-residents, total / Slovakia / Euro",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:16:24,
2005-12,0.201,
2006-01,0.196,
2006-02,0.195,
2006-03,0.201,
2006-04,0.203,
2006-05,0.185,
2006-06,0.182,
2006-07,0.164,
2006-08,0.241,
2006-09,0.206,
2006-10,0.223,
2006-11,0.287,
2006-12,0.270,
2007-01,0.005,
2007-02,0.005,
2007-03,0.006,
2007-04,0.005,
2007-05,0.004,
2007-06,0.004,
2007-07,0.005,
2007-08,0.004,
2007-09,0.007,
2007-10,0.009,
2007-11,0.007,
2007-12,0.007,
2008-01,0.008,
2008-02,0.010,
2008-03,0.009,
2008-04,0.014,
2008-05,0.013,
2008-06,0.013,
2008-07,0.008,
2008-08,0.009,
2008-09,0.008,
2008-10,0.003,
2008-11,0.002,
2008-12,0.010,
2009-01,0.212,
2009-02,0.221,
2009-03,0.217,
2009-04,0.233,
2009-05,0.227,
2009-06,0.238,
2009-07,0.260,
2009-08,0.268,
2009-09,0.264,
2009-10,0.273,
2009-11,0.282,
2009-12,0.295,
2010-01,0.320,
2010-02,0.337,
2010-03,0.338,
2010-04,0.338,
2010-05,0.318,
2010-06,0.313,
2010-07,0.319,
2010-08,0.320,
2010-09,0.319,
2010-10,0.321,
2010-11,0.322,
2010-12,0.308,
2011-01,0.315,
2011-02,0.295,
2011-03,0.284,
2011-04,0.276,
2011-05,0.272,
2011-06,0.264,
2011-07,0.262,
2011-08,0.256,
2011-09,0.254,
2011-10,0.249,
2011-11,0.247,
2011-12,0.247,
2012-01,0.246,
2012-02,0.244,
2012-03,0.249,
2012-04,0.259,
2012-05,0.289,
2012-06,0.276,
2012-07,0.293,
2012-08,0.304,
2012-09,0.304,
2012-10,0.316,
2012-11,0.340,
2012-12,0.354,
2013-01,0.384,
2013-02,0.394,
2013-03,0.404,
2013-04,0.395,
2013-05,0.426,
2013-06,0.419,
2013-07,0.425,
2013-08,0.429,
2013-09,0.440,
2013-10,0.442,
2013-11,0.439,
2013-12,0.450,
2014-01,0.443,
2014-02,0.445,
2014-03,0.443,
2014-04,0.451,
2014-05,0.449,
2014-06,0.452,
2014-07,0.449,
2014-08,0.447,
2014-09,0.441,
2014-10,0.443,
2014-11,0.434,
