"",BBK01.OEAC14U,BBK01.OEAC14U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:07,
2002-01,4.293,
2002-04,4.279,
2002-07,4.234,
2002-10,4.279,
2003-01,4.217,
2003-04,4.202,
2003-07,4.160,
2003-10,4.139,
2004-01,4.061,
2004-04,4.028,
2004-07,3.992,
2004-10,4.019,
2005-01,3.978,
2005-04,3.980,
2005-07,3.925,
2005-10,3.883,
2006-01,3.849,
2006-04,3.857,
2006-07,3.831,
2006-10,3.810,
2007-01,3.767,
2007-04,3.728,
2007-07,3.681,
2007-10,3.701,
2008-01,3.663,
2008-04,3.662,
2008-07,3.648,
2008-10,3.635,
2009-01,3.608,
2009-04,3.982,
2009-07,3.929,
2009-10,3.900,
2010-01,3.877,
2010-04,3.891,
2010-07,3.854,
2010-10,3.814,
2011-01,3.873,
2011-04,3.878,
2011-07,3.832,
2011-10,3.812,
2012-01,3.809,
2012-04,4.167,
2012-07,4.180,
2012-10,4.152,
2013-01,4.127,
2013-04,4.124,
2013-07,4.265,
2013-10,4.262,
2014-01,4.235,
2014-04,4.186,
2014-07,4.197,
