"",BBK01.OEHO05Q,BBK01.OEHO05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:05,
2002-01,0.015,
2002-04,0.013,
2002-07,0.014,
2002-10,0.174,
2003-01,0.014,
2003-04,0.013,
2003-07,0.011,
2003-10,0.141,
2004-01,0.010,
2004-04,0.008,
2004-07,0.009,
2004-10,0.126,
2005-01,0.008,
2005-04,0.006,
2005-07,0.007,
2005-10,0.118,
2006-01,0.011,
2006-04,0.006,
2006-07,0.007,
2006-10,0.123,
2007-01,0.012,
2007-04,0.008,
2007-07,0.009,
2007-10,0.121,
2008-01,0.019,
2008-04,0.013,
2008-07,0.016,
2008-10,0.134,
2009-01,0.026,
2009-04,0.019,
2009-07,0.027,
2009-10,0.120,
2010-01,0.012,
2010-04,0.006,
2010-07,0.015,
2010-10,0.105,
2011-01,0.019,
2011-04,0.010,
2011-07,0.015,
2011-10,0.093,
2012-01,0.018,
2012-04,0.013,
2012-07,0.014,
2012-10,0.081,
2013-01,0.012,
2013-04,0.012,
2013-07,0.013,
2013-10,0.057,
2014-01,0.012,
2014-04,0.010,
2014-07,0.013,
