"",BBFB1.Q.N.DE.AT.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:26,
1991-01,43.550,
1991-04,1.989,
1991-07,24.312,
1991-10,-25.177,
1992-01,55.824,
1992-04,78.860,
1992-07,-87.556,
1992-10,-155.046,
1993-01,-149.288,
1993-04,20.669,
1993-07,-165.001,
1993-10,-206.705,
1994-01,18.275,
1994-04,-70.551,
1994-07,-93.359,
1994-10,-118.574,
1995-01,22.737,
1995-04,-162.334,
1995-07,-151.893,
1995-10,-201.093,
1996-01,13.285,
1996-04,-148.655,
1996-07,-2.469,
1996-10,-127.585,
1997-01,-100.807,
1997-04,-106.070,
1997-07,-17.729,
1997-10,30.760,
1998-01,-89.010,
1998-04,-94.743,
1998-07,-27.226,
1998-10,147.132,
1999-01,66.372,
1999-04,122.464,
1999-07,125.156,
1999-10,249.561,
2000-01,170.257,
2000-04,349.407,
2000-07,293.209,
2000-10,656.810,
2001-01,105.461,
2001-04,64.709,
2001-07,66.908,
2001-10,14.389,
2002-01,39.813,
2002-04,-57.797,
2002-07,77.888,
2002-10,-94.736,
2003-01,245.811,
2003-04,199.113,
2003-07,250.349,
2003-10,144.011,
2004-01,326.877,
2004-04,308.098,
2004-07,441.585,
2004-10,433.826,
2005-01,812.750,
2005-04,755.629,
2005-07,849.682,
2005-10,745.528,
2006-01,1294.300,
2006-04,1247.949,
2006-07,1347.517,
2006-10,1303.907,
2007-01,1277.540,
2007-04,1104.616,
2007-07,1126.026,
2007-10,989.389,
2008-01,1724.811,
2008-04,633.107,
2008-07,607.599,
2008-10,1131.782,
2009-01,1221.935,
2009-04,1171.534,
2009-07,1315.372,
2009-10,1251.482,
2010-01,1007.419,
2010-04,845.574,
2010-07,1026.663,
2010-10,898.892,
2011-01,1385.198,
2011-04,1235.719,
2011-07,1386.394,
2011-10,1323.183,
2012-01,1413.795,
2012-04,1187.687,
2012-07,1401.904,
2012-10,1160.180,
2013-01,1660.055,
2013-04,1449.002,
2013-07,1638.317,
2013-10,1586.414,
2014-01,1507.395,Provisional value
2014-04,1541.446,Provisional value
2014-07,1563.839,Provisional value
