"",BBK01.OEHB21M,BBK01.OEHB21M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:04,
2002-01,1.926,
2002-04,1.877,
2002-07,1.898,
2002-10,1.768,
2003-01,1.958,
2003-04,2.159,
2003-07,2.166,
2003-10,2.248,
2004-01,2.378,
2004-04,2.472,
2004-07,2.496,
2004-10,2.688,
2005-01,2.888,
2005-04,2.872,
2005-07,2.879,
2005-10,2.871,
2006-01,3.038,
2006-04,3.086,
2006-07,2.906,
2006-10,2.951,
2007-01,3.053,
2007-04,2.847,
2007-07,2.554,
2007-10,2.388,
2008-01,2.437,
2008-04,2.383,
2008-07,2.525,
2008-10,2.536,
2009-01,2.596,
2009-04,2.325,
2009-07,2.368,
2009-10,2.340,
2010-01,2.503,
2010-04,2.622,
2010-07,2.495,
2010-10,2.502,
2011-01,2.740,
2011-04,2.781,
2011-07,2.695,
2011-10,2.753,
2012-01,2.778,
2012-04,2.830,
2012-07,2.882,
2012-10,2.779,
2013-01,2.748,
2013-04,2.652,
2013-07,2.719,
2013-10,2.873,
2014-01,2.782,
2014-04,2.787,
2014-07,2.870,
