"",BBK01.OECB10Q,BBK01.OECB10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:29,
2002-01,0.911,
2002-04,0.911,
2002-07,0.919,
2002-10,0.818,
2003-01,0.666,
2003-04,0.689,
2003-07,0.731,
2003-10,0.620,
2004-01,0.511,
2004-04,0.521,
2004-07,0.555,
2004-10,0.921,
2005-01,0.910,
2005-04,0.845,
2005-07,0.868,
2005-10,0.667,
2006-01,0.670,
2006-04,0.632,
2006-07,0.626,
2006-10,0.670,
2007-01,0.601,
2007-04,0.652,
2007-07,0.681,
2007-10,0.682,
2008-01,0.640,
2008-04,0.654,
2008-07,0.724,
2008-10,0.659,
2009-01,0.687,
2009-04,0.602,
2009-07,0.597,
2009-10,0.497,
2010-01,0.545,
2010-04,0.562,
2010-07,0.617,
2010-10,0.550,
2011-01,0.579,
2011-04,0.601,
2011-07,0.676,
2011-10,0.548,
2012-01,0.624,
2012-04,0.610,
2012-07,0.650,
2012-10,0.566,
2013-01,0.692,
2013-04,0.657,
2013-07,0.751,
2013-10,0.618,
2014-01,0.682,
2014-04,0.718,
2014-07,0.742,
