"",BBK01.OEAH32I,BBK01.OEAH32I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:31,
2002-01,3.783,
2002-04,3.762,
2002-07,4.124,
2002-10,3.670,
2003-01,3.714,
2003-04,3.274,
2003-07,3.215,
2003-10,3.223,
2004-01,2.894,
2004-04,3.050,
2004-07,3.359,
2004-10,3.368,
2005-01,3.961,
2005-04,3.542,
2005-07,3.607,
2005-10,3.888,
2006-01,3.757,
2006-04,3.373,
2006-07,3.912,
2006-10,4.032,
2007-01,4.582,
2007-04,4.819,
2007-07,5.295,
2007-10,6.270,
2008-01,8.032,
2008-04,10.689,
2008-07,12.029,
2008-10,9.134,
2009-01,11.225,
2009-04,11.249,
2009-07,9.374,
2009-10,9.749,
2010-01,11.694,
2010-04,7.112,
2010-07,13.524,
2010-10,13.103,
2011-01,14.387,
2011-04,15.603,
2011-07,16.225,
2011-10,13.209,
2012-01,14.361,
2012-04,11.075,
2012-07,14.107,
2012-10,12.034,
2013-01,16.391,
2013-04,13.646,
2013-07,5.602,
2013-10,6.103,
2014-01,5.348,
2014-04,5.207,
2014-07,5.498,
