"",BBK01.OEAC43L,BBK01.OEAC43L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:07,
2002-01,1.616,
2002-04,1.609,
2002-07,1.578,
2002-10,1.314,
2003-01,1.354,
2003-04,1.480,
2003-07,1.662,
2003-10,1.699,
2004-01,1.786,
2004-04,1.837,
2004-07,1.887,
2004-10,2.008,
2005-01,1.984,
2005-04,1.866,
2005-07,1.994,
2005-10,1.918,
2006-01,1.822,
2006-04,1.896,
2006-07,1.927,
2006-10,1.738,
2007-01,1.747,
2007-04,1.619,
2007-07,1.723,
2007-10,2.169,
2008-01,2.288,
2008-04,2.120,
2008-07,2.214,
2008-10,2.291,
2009-01,2.569,
2009-04,2.642,
2009-07,2.686,
2009-10,2.609,
2010-01,2.713,
2010-04,2.497,
2010-07,2.545,
2010-10,2.342,
2011-01,2.244,
2011-04,2.202,
2011-07,1.989,
2011-10,1.945,
2012-01,1.992,
2012-04,1.965,
2012-07,2.076,
2012-10,2.003,
2013-01,1.970,
2013-04,2.176,
2013-07,2.054,
2013-10,1.993,
2014-01,1.870,
2014-04,1.860,
2014-07,1.807,
