"",BBK01.OELI08K,BBK01.OELI08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:11,
2002-01,1.428,
2002-04,1.423,
2002-07,1.418,
2002-10,1.480,
2003-01,1.560,
2003-04,1.547,
2003-07,1.550,
2003-10,1.611,
2004-01,1.617,
2004-04,1.643,
2004-07,1.639,
2004-10,1.779,
2005-01,1.823,
2005-04,1.814,
2005-07,1.804,
2005-10,1.821,
2006-01,1.847,
2006-04,1.873,
2006-07,1.945,
2006-10,2.055,
2007-01,2.038,
2007-04,1.947,
2007-07,1.884,
2007-10,1.917,
2008-01,1.860,
2008-04,1.796,
2008-07,1.643,
2008-10,1.609,
2009-01,1.590,
2009-04,1.572,
2009-07,1.535,
2009-10,1.555,
2010-01,1.668,
2010-04,1.687,
2010-07,1.788,
2010-10,1.897,
2011-01,1.929,
2011-04,1.947,
2011-07,1.897,
2011-10,1.833,
2012-01,1.807,
2012-04,1.805,
2012-07,1.792,
2012-10,1.804,
2013-01,1.861,
2013-04,1.960,
2013-07,1.972,
2013-10,1.981,
2014-01,2.161,
2014-04,2.130,
2014-07,2.106,
