"",BBK01.OEAH18U,BBK01.OEAH18U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:17,
2002-01,2.923,
2002-04,2.777,
2002-07,2.730,
2002-10,2.645,
2003-01,2.613,
2003-04,2.482,
2003-07,2.485,
2003-10,2.427,
2004-01,2.475,
2004-04,2.232,
2004-07,2.249,
2004-10,2.245,
2005-01,2.124,
2005-04,2.129,
2005-07,2.208,
2005-10,2.210,
2006-01,2.369,
2006-04,2.360,
2006-07,2.499,
2006-10,2.611,
2007-01,2.920,
2007-04,3.037,
2007-07,3.307,
2007-10,3.421,
2008-01,3.692,
2008-04,3.896,
2008-07,4.143,
2008-10,3.746,
2009-01,3.028,
2009-04,2.715,
2009-07,2.129,
2009-10,1.854,
2010-01,1.647,
2010-04,1.568,
2010-07,1.479,
2010-10,1.510,
2011-01,1.704,
2011-04,1.857,
2011-07,1.962,
2011-10,2.358,
2012-01,2.583,
2012-04,2.515,
2012-07,2.395,
2012-10,2.155,
2013-01,1.975,
2013-04,1.939,
2013-07,1.980,
2013-10,1.779,
2014-01,2.039,
2014-04,2.007,
2014-07,1.702,
