"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.DK.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.DK.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Denmark,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:16,
2009-09,1405,
2009-10,1488,
2009-11,1473,
2009-12,1885,
2010-01,1494,
2010-02,1421,
2010-03,1558,
2010-04,1421,
2010-05,1392,
2010-06,1342,
2010-07,1339,
2010-08,1276,
2010-09,1314,
2010-10,1374,
2010-11,1337,
2010-12,1535,
2011-01,1076,
2011-02,1002,
2011-03,913,
2011-04,859,
2011-05,843,
2011-06,777,
2011-07,767,
2011-08,762,
2011-09,741,
2011-10,709,
2011-11,696,
2011-12,689,
2012-01,560,
2012-02,550,
2012-03,548,
2012-04,561,
2012-05,597,
2012-06,788,
2012-07,868,
2012-08,899,
2012-09,938,
2012-10,911,
2012-11,959,
2012-12,1181,
2013-01,899,
2013-02,912,
2013-03,1054,
2013-04,1016,
2013-05,994,
2013-06,966,
2013-07,977,
2013-08,1054,
2013-09,1109,
2013-10,1095,
2013-11,1086,
2013-12,1065,
2014-01,751,
2014-02,665,
2014-03,592,
2014-04,502,
2014-05,552,
2014-06,555,
2014-07,562,
2014-08,575,
2014-09,587,
2014-10,560,
2014-11,604,
