"",BBFB1.Q.N.DE.I7.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:51,
1991-01,144.830,
1991-04,198.920,
1991-07,180.989,
1991-10,64.930,
1992-01,-80.211,
1992-04,-97.530,
1992-07,-37.663,
1992-10,-203.931,
1993-01,-272.364,
1993-04,-411.392,
1993-07,-263.757,
1993-10,-623.838,
1994-01,-120.527,
1994-04,-288.887,
1994-07,-163.675,
1994-10,-328.143,
1995-01,-117.639,
1995-04,-306.341,
1995-07,-163.831,
1995-10,-374.609,
1996-01,-597.883,
1996-04,-652.806,
1996-07,-378.126,
1996-10,-1022.591,
1997-01,103.433,
1997-04,-148.994,
1997-07,133.526,
1997-10,111.722,
1998-01,-6.881,
1998-04,-199.887,
1998-07,-1.509,
1998-10,-60.978,
1999-01,-667.448,
1999-04,-650.050,
1999-07,-654.209,
1999-10,-906.913,
2000-01,-2110.381,
2000-04,-1819.771,
2000-07,-1740.608,
2000-10,-1904.445,
2001-01,-2411.152,
2001-04,-3204.360,
2001-07,-1285.105,
2001-10,-1224.563,
2002-01,-985.748,
2002-04,-1979.042,
2002-07,-621.516,
2002-10,-2193.141,
2003-01,765.780,
2003-04,-2751.932,
2003-07,564.721,
2003-10,387.318,
2004-01,-2147.439,
2004-04,-286.418,
2004-07,890.908,
2004-10,-427.254,
2005-01,2048.843,
2005-04,370.043,
2005-07,1789.033,
2005-10,834.031,
2006-01,-378.102,
2006-04,-1203.958,
2006-07,249.585,
2006-10,-1984.137,
2007-01,3460.198,
2007-04,-1617.705,
2007-07,1233.347,
2007-10,-524.184,
2008-01,-2352.244,
2008-04,-2718.754,
2008-07,-4178.945,
2008-10,-2794.133,
2009-01,-904.736,
2009-04,-2599.064,
2009-07,-1921.180,
2009-10,-3661.155,
2010-01,1929.281,
2010-04,-1644.131,
2010-07,2008.382,
2010-10,-1609.547,
2011-01,1170.380,
2011-04,-2507.964,
2011-07,-2049.657,
2011-10,-404.609,
2012-01,1907.283,
2012-04,-1548.136,
2012-07,-261.216,
2012-10,-633.565,
2013-01,2176.933,
2013-04,-2146.268,
2013-07,154.854,
2013-10,-356.861,
2014-01,1746.315,Provisional value
2014-04,-520.837,Provisional value
2014-07,1045.894,Provisional value
2014-10,-277.156,Provisional value
