"",BBK01.CEBD20,BBK01.CEBD20_FLAGS
"",Currency and transferable deposits debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:36,
1991-01,522.7,
1991-04,547.6,
1991-07,526.5,
1991-10,546.1,
1992-01,552.3,
1992-04,566.4,
1992-07,548.9,
1992-10,614.9,
1993-01,605.7,
1993-04,637.7,
1993-07,640.7,
1993-10,697.0,
1994-01,634.8,
1994-04,652.9,
1994-07,628.9,
1994-10,692.0,
1995-01,632.3,
1995-04,648.7,
1995-07,653.8,
1995-10,727.4,
1996-01,689.0,
1996-04,718.1,
1996-07,725.8,
1996-10,824.8,
1997-01,802.9,
1997-04,843.1,
1997-07,818.7,
1997-10,889.2,
1998-01,888.1,
1998-04,938.8,
1998-07,909.3,
1998-10,1016.8,
1999-01,824.0,
1999-04,842.5,
1999-07,832.8,
1999-10,819.9,
2000-01,898.2,
2000-04,897.0,
2000-07,879.5,
2000-10,905.7,
2001-01,960.4,
2001-04,969.0,
2001-07,977.9,
2001-10,929.6,
2002-01,930.7,
2002-04,992.3,
2002-07,1013.1,
2002-10,1026.5,
2003-01,1091.7,
2003-04,1143.5,
2003-07,1118.2,
2003-10,1093.8,
2004-01,1184.8,
2004-04,1192.7,
2004-07,1209.4,
2004-10,1144.5,
2005-01,1274.4,
2005-04,1318.7,
2005-07,1312.1,
2005-10,1292.0,
2006-01,1341.9,
2006-04,1403.9,
2006-07,1402.0,
2006-10,1438.3,
2007-01,1486.6,
2007-04,1540.7,
2007-07,1557.9,
2007-10,1559.1,
2008-01,1640.8,
2008-04,1633.4,
2008-07,1743.0,
2008-10,1821.4,
2009-01,1879.7,
2009-04,1974.4,
2009-07,1918.0,
2009-10,1937.8,
2010-01,2046.3,
2010-04,2252.9,
2010-07,2114.9,
2010-10,2102.5,
2011-01,2084.8,
2011-04,2094.9,
2011-07,2317.3,
2011-10,2305.4,
2012-01,2660.7,
2012-04,2805.3,
2012-07,2808.3,
2012-10,2717.8,
2013-01,2605.8,
2013-04,2612.1,
2013-07,2631.5,
2013-10,2561.7,
2014-01,2575.7,
