"",BBDE1.M.DE.W.AEB5.A2P350000.F.V.I10.A,BBDE1.M.DE.W.AEB5.A2P350000.F.V.I10.A_FLAGS
"",Orders received from abroad / At current prices / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:17,
1991-01,45.3,
1991-02,68.2,
1991-03,59.9,
1991-04,43.7,
1991-05,42.1,
1991-06,46.6,
1991-07,44.5,
1991-08,48.6,
1991-09,57.6,
1991-10,47.5,
1991-11,49.4,
1991-12,40.4,
1992-01,47.7,
1992-02,58.6,
1992-03,60.2,
1992-04,43.4,
1992-05,42.7,
1992-06,44.0,
1992-07,41.1,
1992-08,47.2,
1992-09,54.6,
1992-10,45.0,
1992-11,45.9,
1992-12,40.0,
1993-01,42.5,
1993-02,52.6,
1993-03,53.3,
1993-04,39.1,
1993-05,44.3,
1993-06,38.0,
1993-07,38.9,
1993-08,46.9,
1993-09,49.5,
1993-10,42.4,
1993-11,42.9,
1993-12,41.9,
1994-01,45.0,
1994-02,54.9,
1994-03,59.7,
1994-04,51.0,
1994-05,41.3,
1994-06,45.8,
1994-07,43.4,
1994-08,47.6,
1994-09,60.0,
1994-10,49.7,
1994-11,50.9,
1994-12,44.4,
1995-01,50.4,
1995-02,58.5,
1995-03,62.3,
1995-04,52.7,
1995-05,48.8,
1995-06,54.3,
1995-07,52.6,
1995-08,54.4,
1995-09,66.9,
1995-10,58.0,
1995-11,51.8,
1995-12,51.0,
1996-01,51.0,
1996-02,58.8,
1996-03,68.9,
1996-04,51.0,
1996-05,49.9,
1996-06,54.0,
1996-07,52.7,
1996-08,53.5,
1996-09,64.1,
1996-10,52.3,
1996-11,50.3,
1996-12,50.4,
1997-01,54.8,
1997-02,64.7,
1997-03,73.7,
1997-04,56.7,
1997-05,51.0,
1997-06,59.5,
1997-07,59.7,
1997-08,59.2,
1997-09,73.9,
1997-10,60.4,
1997-11,55.0,
1997-12,61.0,
1998-01,61.0,
1998-02,69.8,
1998-03,76.5,
1998-04,56.3,
1998-05,52.3,
1998-06,63.7,
1998-07,61.7,
1998-08,63.5,
1998-09,70.7,
1998-10,57.6,
1998-11,52.7,
1998-12,51.7,
1999-01,59.8,
1999-02,69.0,
1999-03,70.8,
1999-04,62.4,
1999-05,59.5,
1999-06,59.6,
1999-07,68.9,
1999-08,68.4,
1999-09,71.1,
1999-10,63.0,
1999-11,63.8,
1999-12,56.5,
2000-01,66.4,
2000-02,76.1,
2000-03,82.4,
2000-04,65.5,
2000-05,61.1,
2000-06,70.7,
2000-07,72.6,
2000-08,73.7,
2000-09,82.9,
2000-10,73.9,
2000-11,70.7,
2000-12,69.2,
2001-01,78.0,
2001-02,84.8,
2001-03,87.2,
2001-04,71.2,
2001-05,66.1,
2001-06,77.6,
2001-07,81.4,
2001-08,82.0,
2001-09,82.1,
2001-10,78.2,
2001-11,71.2,
2001-12,66.8,
2002-01,81.5,
2002-02,86.0,
2002-03,94.8,
2002-04,75.9,
2002-05,68.7,
2002-06,76.4,
2002-07,82.9,
2002-08,80.6,
2002-09,89.7,
2002-10,76.3,
2002-11,81.4,
2002-12,69.3,
2003-01,81.4,
2003-02,91.3,
2003-03,89.1,
2003-04,74.6,
2003-05,72.1,
2003-06,76.7,
2003-07,82.0,
2003-08,81.1,
2003-09,85.1,
2003-10,84.8,
2003-11,76.4,
2003-12,73.6,
2004-01,81.2,
2004-02,90.8,
2004-03,90.8,
2004-04,80.8,
2004-05,77.5,
2004-06,78.4,
2004-07,89.5,
2004-08,81.0,
2004-09,87.2,
2004-10,82.6,
2004-11,80.2,
2004-12,74.5,
2005-01,88.7,
2005-02,96.2,
2005-03,96.4,
2005-04,82.0,
2005-05,80.3,
2005-06,85.2,
2005-07,94.1,
2005-08,89.2,
2005-09,92.7,
2005-10,90.1,
2005-11,88.7,
2005-12,82.3,
2006-01,91.8,
2006-02,98.4,
2006-03,102.0,
2006-04,89.9,
2006-05,89.3,
2006-06,90.4,
2006-07,103.6,
2006-08,98.9,
2006-09,99.9,
2006-10,98.2,
2006-11,100.9,
2006-12,84.6,
2007-01,100.1,
2007-02,111.5,
2007-03,109.5,
2007-04,94.5,
2007-05,98.2,
2007-06,104.0,
2007-07,108.7,
2007-08,107.2,
2007-09,107.6,
2007-10,116.9,
2007-11,102.5,
2007-12,92.3,
2008-01,102.9,
2008-02,112.5,
2008-03,108.6,
2008-04,95.8,
2008-05,95.0,
2008-06,97.1,
2008-07,104.5,
2008-08,101.8,
2008-09,101.9,
2008-10,100.8,
2008-11,98.4,
2008-12,83.6,
2009-01,90.8,
2009-02,95.4,
2009-03,94.5,
2009-04,84.6,
2009-05,86.7,
2009-06,89.3,
2009-07,96.4,
2009-08,86.7,
2009-09,93.7,
2009-10,96.4,
2009-11,98.4,
2009-12,84.8,
2010-01,97.5,
2010-02,99.3,
2010-03,106.1,
2010-04,93.1,
2010-05,97.3,
2010-06,102.3,
2010-07,105.1,
2010-08,98.1,
2010-09,100.3,
