"",BBK01.OEBL08K,BBK01.OEBL08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:58,
2002-01,1.982,
2002-04,1.692,
2002-07,1.678,
2002-10,1.829,
2003-01,1.928,
2003-04,1.916,
2003-07,1.990,
2003-10,1.983,
2004-01,1.946,
2004-04,1.934,
2004-07,2.068,
2004-10,2.091,
2005-01,3.189,
2005-04,3.336,
2005-07,3.343,
2005-10,3.253,
2006-01,3.141,
2006-04,3.120,
2006-07,3.015,
2006-10,3.020,
2007-01,3.079,
2007-04,3.037,
2007-07,2.964,
2007-10,3.003,
2008-01,3.059,
2008-04,3.068,
2008-07,2.971,
2008-10,3.063,
2009-01,3.228,
2009-04,3.393,
2009-07,3.775,
2009-10,3.886,
2010-01,4.018,
2010-04,3.975,
2010-07,4.031,
2010-10,4.169,
2011-01,4.110,
2011-04,3.893,
2011-07,3.798,
2011-10,3.801,
2012-01,4.068,
2012-04,4.017,
2012-07,4.326,
2012-10,4.439,
2013-01,4.257,
2013-04,4.233,
2013-07,4.169,
2013-10,4.172,
2014-01,4.130,
2014-04,4.080,
2014-07,4.095,
