"",BBK01.OEYB05S,BBK01.OEYB05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:30,
2002-01,6.214,
2002-04,6.235,
2002-07,6.291,
2002-10,6.380,
2003-01,6.371,
2003-04,6.365,
2003-07,6.406,
2003-10,6.574,
2004-01,6.440,
2004-04,6.519,
2004-07,6.555,
2004-10,5.124,
2005-01,5.048,
2005-04,5.046,
2005-07,5.019,
2005-10,4.974,
2006-01,4.927,
2006-04,4.951,
2006-07,4.984,
2006-10,4.893,
2007-01,5.005,
2007-04,5.151,
2007-07,5.299,
2007-10,5.277,
2008-01,5.388,
2008-04,5.471,
2008-07,5.581,
2008-10,5.598,
2009-01,5.587,
2009-04,5.722,
2009-07,5.717,
2009-10,5.801,
2010-01,5.849,
2010-04,5.891,
2010-07,5.918,
2010-10,5.948,
2011-01,6.023,
2011-04,6.306,
2011-07,6.494,
2011-10,6.718,
2012-01,6.724,
2012-04,6.803,
2012-07,6.807,
2012-10,6.881,
2013-01,6.777,
2013-04,6.763,
2013-07,6.703,
2013-10,6.643,
2014-01,6.551,
2014-04,6.383,
2014-07,6.452,
