"",BBK01.OEAD12H,BBK01.OEAD12H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:46,
2002-01,0.649,
2002-04,0.692,
2002-07,0.550,
2002-10,0.794,
2003-01,0.736,
2003-04,0.566,
2003-07,0.539,
2003-10,0.551,
2004-01,0.427,
2004-04,0.407,
2004-07,0.395,
2004-10,0.473,
2005-01,0.448,
2005-04,0.466,
2005-07,0.425,
2005-10,0.477,
2006-01,0.457,
2006-04,0.871,
2006-07,0.672,
2006-10,0.620,
2007-01,0.414,
2007-04,0.593,
2007-07,0.371,
2007-10,0.417,
2008-01,0.490,
2008-04,0.464,
2008-07,0.550,
2008-10,0.486,
2009-01,0.439,
2009-04,0.446,
2009-07,0.578,
2009-10,0.450,
2010-01,0.405,
2010-04,0.517,
2010-07,0.358,
2010-10,0.324,
2011-01,0.429,
2011-04,0.448,
2011-07,0.451,
2011-10,0.371,
2012-01,0.400,
2012-04,0.339,
2012-07,0.282,
2012-10,0.250,
2013-01,0.261,
2013-04,0.319,
2013-07,0.302,
2013-10,0.316,
2014-01,0.430,
2014-04,0.446,
2014-07,0.254,
