"",BBFB1.Q.N.DE.W1.S13.S1.T.L.FA.P.F3.S._T.M.N,BBFB1.Q.N.DE.W1.S13.S1.T.L.FA.P.F3.S._T.M.N_FLAGS
"",Liabilities (Net Incurrence of) / Financial account / Debt securities / Rest of the World / General government / Portfolio investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:59:05,
1991-01,511.796,
1991-04,0.198,
1991-07,882.204,
1991-10,29.661,
1992-01,-361.135,
1992-04,-55.251,
1992-07,-763.550,
1992-10,107.709,
1993-01,27.050,
1993-04,-46.016,
1993-07,-137.447,
1993-10,-53.940,
1994-01,-275.621,
1994-04,4.721,
1994-07,-5.177,
1994-10,-16.202,
1995-01,18.996,
1995-04,1.202,
1995-07,10.024,
1995-10,15.114,
1996-01,-13.377,
1996-04,2.958,
1996-07,4574.718,
1996-10,2544.711,
1997-01,1036.781,
1997-04,1075.020,
1997-07,-30.593,
1997-10,371.183,
1998-01,-375.878,
1998-04,-1208.134,
1998-07,1185.172,
1998-10,-921.639,
1999-01,-813.084,
1999-04,-1570.343,
1999-07,1892.518,
1999-10,653.335,
2000-01,-817.017,
2000-04,1275.126,
2000-07,101.840,
2000-10,-413.695,
2001-01,-394.335,
2001-04,1874.593,
2001-07,3817.151,
2001-10,1407.978,
2002-01,-5563.851,
2002-04,4223.000,
2002-07,11748.953,
2002-10,-3695.231,
2003-01,-346.119,
2003-04,1245.388,
2003-07,2211.711,
2003-10,1952.253,
2004-01,-844.827,
2004-04,-955.608,
2004-07,665.634,
2004-10,-315.395,
2005-01,4561.783,
2005-04,-4258.187,
2005-07,1073.105,
2005-10,1661.706,
2006-01,-186.888,
2006-04,-868.910,
2006-07,231.845,
2006-10,-937.381,
2007-01,123.841,
2007-04,-1841.765,
2007-07,92.122,
2007-10,659.637,
2008-01,1182.709,
2008-04,3055.971,
2008-07,4556.359,
2008-10,689.460,
2009-01,21098.668,
2009-04,29270.528,
2009-07,6967.123,
2009-10,-458.872,
2010-01,-10133.466,
2010-04,-16799.566,
2010-07,2251.620,
2010-10,3531.109,
2011-01,6748.234,
2011-04,8216.579,
2011-07,4678.893,
2011-10,-8659.300,
2012-01,9002.874,
2012-04,1493.493,
2012-07,-5929.280,
2012-10,4806.152,
2013-01,-2138.156,
2013-04,-1724.366,
2013-07,-9538.973,
2013-10,-8130.154,
2014-01,-2876.294,
2014-04,-7143.137,
2014-07,-1086.484,
