"",BBK01.OELB03I,BBK01.OELB03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:28,
2002-01,0.635,
2002-04,0.742,
2002-07,0.759,
2002-10,0.703,
2003-01,0.670,
2003-04,0.657,
2003-07,0.619,
2003-10,0.595,
2004-01,0.554,
2004-04,0.553,
2004-07,0.572,
2004-10,0.601,
2005-01,0.569,
2005-04,0.546,
2005-07,0.561,
2005-10,0.547,
2006-01,0.545,
2006-04,0.542,
2006-07,0.537,
2006-10,0.490,
2007-01,0.480,
2007-04,0.484,
2007-07,0.475,
2007-10,0.466,
2008-01,0.483,
2008-04,0.485,
2008-07,0.480,
2008-10,0.492,
2009-01,0.514,
2009-04,0.529,
2009-07,0.552,
2009-10,0.548,
2010-01,0.558,
2010-04,0.557,
2010-07,0.550,
2010-10,0.586,
2011-01,0.610,
2011-04,0.638,
2011-07,0.629,
2011-10,0.658,
2012-01,0.656,
2012-04,0.775,
2012-07,0.785,
2012-10,0.807,
2013-01,0.840,
2013-04,0.861,
2013-07,0.887,
2013-10,0.911,
2014-01,0.959,
2014-04,0.996,
2014-07,1.023,
