"",BBK01.OEAE36S,BBK01.OEAE36S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:01,
2002-01,0.355,
2002-04,0.358,
2002-07,0.357,
2002-10,0.369,
2003-01,0.354,
2003-04,0.355,
2003-07,0.360,
2003-10,0.366,
2004-01,0.364,
2004-04,0.409,
2004-07,0.387,
2004-10,0.388,
2005-01,0.392,
2005-04,0.388,
2005-07,0.381,
2005-10,0.366,
2006-01,0.363,
2006-04,0.365,
2006-07,0.347,
2006-10,0.355,
2007-01,0.355,
2007-04,0.347,
2007-07,0.361,
2007-10,0.412,
2008-01,0.410,
2008-04,0.423,
2008-07,0.424,
2008-10,0.423,
2009-01,0.357,
2009-04,0.315,
2009-07,0.300,
2009-10,0.290,
2010-01,0.330,
2010-04,0.325,
2010-07,0.343,
2010-10,0.352,
2011-01,0.344,
2011-04,0.349,
2011-07,0.355,
2011-10,0.373,
2012-01,0.374,
2012-04,0.353,
2012-07,0.360,
2012-10,0.360,
2013-01,0.335,
2013-04,0.316,
2013-07,0.340,
2013-10,0.341,
2014-01,0.344,
2014-04,0.332,
2014-07,0.342,
