"",BBK01.OELI01M,BBK01.OELI01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:28,
2002-01,32.398,
2002-04,32.183,
2002-07,32.071,
2002-10,32.983,
2003-01,32.764,
2003-04,32.527,
2003-07,32.402,
2003-10,33.265,
2004-01,32.934,
2004-04,32.940,
2004-07,32.888,
2004-10,33.809,
2005-01,33.437,
2005-04,33.418,
2005-07,33.461,
2005-10,34.542,
2006-01,34.225,
2006-04,34.206,
2006-07,34.240,
2006-10,35.096,
2007-01,34.591,
2007-04,34.705,
2007-07,34.850,
2007-10,35.948,
2008-01,35.437,
2008-04,35.427,
2008-07,35.467,
2008-10,37.280,
2009-01,37.119,
2009-04,37.309,
2009-07,37.665,
2009-10,38.788,
2010-01,38.986,
2010-04,39.116,
2010-07,39.393,
2010-10,40.248,
2011-01,40.092,
2011-04,40.363,
2011-07,40.681,
2011-10,41.785,
2012-01,41.684,
2012-04,41.937,
2012-07,42.363,
2012-10,43.206,
2013-01,43.045,
2013-04,43.049,
2013-07,43.545,
2013-10,44.723,
2014-01,44.855,
2014-04,45.192,
2014-07,45.863,
