"",BBK01.OEAE21O,BBK01.OEAE21O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:56,
2002-01,0.357,
2002-04,0.327,
2002-07,0.121,
2002-10,0.126,
2003-01,0.169,
2003-04,0.205,
2003-07,0.348,
2003-10,0.207,
2004-01,0.222,
2004-04,0.257,
2004-07,0.281,
2004-10,0.272,
2005-01,0.225,
2005-04,0.227,
2005-07,0.237,
2005-10,0.193,
2006-01,0.170,
2006-04,0.160,
2006-07,0.171,
2006-10,0.139,
2007-01,0.145,
2007-04,0.189,
2007-07,0.250,
2007-10,0.262,
2008-01,0.265,
2008-04,0.258,
2008-07,0.230,
2008-10,0.232,
2009-01,0.148,
2009-04,0.115,
2009-07,0.106,
2009-10,0.144,
2010-01,0.174,
2010-04,0.173,
2010-07,0.077,
2010-10,0.084,
2011-01,0.093,
2011-04,0.105,
2011-07,0.109,
2011-10,0.108,
2012-01,0.125,
2012-04,0.131,
2012-07,0.146,
2012-10,0.165,
2013-01,0.141,
2013-04,0.203,
2013-07,0.132,
2013-10,0.121,
2014-01,0.125,
2014-04,0.127,
2014-07,0.137,
